campaign_id,variant_id,term_rank_threshold,min_orderflow_imbalance,full_signals,full_trades_per_year,limited_core_signals,limited_core_trades_per_year,full_first_signal,full_last_signal,limited_first_signal,limited_last_signal
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.5,0.0,1078,69.86151525904897,102,66.29092526690391,2011-04-13 09:55:00,2026-06-08 10:09:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.5,0.03,1024,66.36195883605394,102,66.29092526690391,2011-04-13 09:55:00,2026-06-08 10:10:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.5,0.06,967,62.667982611781405,100,64.99110320284697,2011-04-13 09:55:00,2026-06-08 10:10:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.55,0.0,975,63.18643541518808,92,59.79181494661921,2011-04-13 09:55:00,2026-06-08 10:09:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.55,0.03,929,60.20533179559972,92,59.79181494661921,2011-04-13 09:55:00,2026-06-08 10:10:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.55,0.06,875,56.705775372604684,90,58.49199288256227,2011-04-13 09:55:00,2026-06-08 10:10:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.6,0.0,840,54.437544357700496,78,50.69306049822064,2011-04-13 09:55:00,2026-06-08 10:09:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.6,0.03,802,51.97489354151881,78,50.69306049822064,2011-04-13 09:55:00,2026-06-08 10:10:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,backwardation_surge_signed_vwap_reject_short_1500,0.6,0.06,755,48.92898332150461,77,50.04314946619217,2011-04-13 09:55:00,2026-06-08 10:10:00,2011-04-13 09:55:00,2012-09-05 09:39:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.55,0.0,1266,82.04515613910574,119,77.3394128113879,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.55,0.03,1254,81.26747693399574,119,77.3394128113879,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.55,0.06,1239,80.29537792760823,118,76.68950177935943,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.5,0.0,1152,74.65720369056068,108,70.19039145907473,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.5,0.03,1140,73.87952448545067,108,70.19039145907473,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.5,0.06,1128,73.10184528034067,107,69.54048042704626,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.45,0.0,1061,68.7598030518098,102,66.29092526690391,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.45,0.03,1050,68.04693044712562,102,66.29092526690391,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,0.45,0.06,1039,67.33405784244145,101,65.64101423487544,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,0.55,0.0,1103,71.48168026969482,97,63.04137010676156,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
es_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,0.55,0.03,1054,68.30615684882896,97,63.04137010676156,2011-04-14 11:16:00,2026-06-04 09:51:00,2011-04-14 11:16:00,2012-08-31 09:35:00
