variant_id,rank_column,direction_mode,rank_min_threshold,rank_max_threshold,window,window_start,window_end,eligible_sessions,signals,signals_per_year,density_pass
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3725,1705,115.34496644295302,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,364,165,114.23076923076923,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.55,0.44999999999999996,latest_252,2025-06-02,2026-06-12,252,131,131.0,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.6,0.4,full,2011-01-03,2026-06-12,3725,1494,101.07060402684564,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.6,0.4,limited_core,2011-02-22,2012-09-07,364,143,99.0,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.6,0.4,latest_252,2025-06-02,2026-06-12,252,117,117.0,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.65,0.35,full,2011-01-03,2026-06-12,3725,1325,89.63758389261746,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.65,0.35,limited_core,2011-02-22,2012-09-07,364,124,85.84615384615385,True
twii_1d_strength_long_1000,twii_return_1d_rank_252,high_long,0.65,0.35,latest_252,2025-06-02,2026-06-12,252,108,108.0,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3725,1663,112.50362416107383,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,364,166,114.92307692307692,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.55,0.44999999999999996,latest_252,2025-06-02,2026-06-12,252,104,104.0,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.6,0.4,full,2011-01-03,2026-06-12,3725,1490,100.8,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,364,146,101.07692307692308,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.6,0.4,latest_252,2025-06-02,2026-06-12,252,94,94.0,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.65,0.35,full,2011-01-03,2026-06-12,3725,1316,89.02872483221476,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,364,129,89.3076923076923,True
twii_1d_weakness_short_1000,twii_return_1d_rank_252,low_short,0.65,0.35,latest_252,2025-06-02,2026-06-12,252,82,82.0,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3725,1673,113.18013422818792,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,364,171,118.38461538461539,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,latest_252,2025-06-02,2026-06-12,252,124,124.0,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.6,0.4,full,2011-01-03,2026-06-12,3725,1482,100.25879194630872,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.6,0.4,limited_core,2011-02-22,2012-09-07,364,151,104.53846153846155,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.6,0.4,latest_252,2025-06-02,2026-06-12,252,103,103.0,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.65,0.35,full,2011-01-03,2026-06-12,3725,1312,88.75812080536913,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.65,0.35,limited_core,2011-02-22,2012-09-07,364,132,91.38461538461539,True
tsmc_1d_relative_strength_long_1030,tsmc_tw_twii_relative_return_1d_rank_252,high_long,0.65,0.35,latest_252,2025-06-02,2026-06-12,252,93,93.0,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3725,1681,113.7213422818792,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,364,163,112.84615384615385,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,latest_252,2025-06-02,2026-06-12,252,109,109.0,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.6,0.4,full,2011-01-03,2026-06-12,3725,1483,100.32644295302013,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,364,149,103.15384615384616,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.6,0.4,latest_252,2025-06-02,2026-06-12,252,101,101.0,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.65,0.35,full,2011-01-03,2026-06-12,3725,1299,87.8786577181208,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,364,134,92.76923076923077,True
tsmc_3d_relative_weakness_short_1030,tsmc_tw_twii_relative_return_3d_rank_252,low_short,0.65,0.35,latest_252,2025-06-02,2026-06-12,252,93,93.0,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3725,1733,117.23919463087249,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,364,173,119.76923076923077,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.55,0.44999999999999996,latest_252,2025-06-02,2026-06-12,252,134,134.0,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.6,0.4,full,2011-01-03,2026-06-12,3725,1534,103.77664429530202,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,364,154,106.61538461538461,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.6,0.4,latest_252,2025-06-02,2026-06-12,252,117,117.0,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.65,0.35,full,2011-01-03,2026-06-12,3725,1364,92.27597315436242,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,364,139,96.23076923076923,True
taiwan_1d_volatility_short_1130,twii_abs_return_1d_rank_252,high_short,0.65,0.35,latest_252,2025-06-02,2026-06-12,252,109,109.0,True
