variant_id,setup_mode,direction,threshold_name,threshold,rank_column,window,start_date,end_date,signals,signals_per_year,density_pass
inventory_sales_high_short_1200,inventory_sales_high_short,short,rank_min,0.6,inventory_sales_ratio_rank_120m,full,2011-01-03,2026-06-12,2312,149.75314772122715,True
inventory_sales_high_short_1200,inventory_sales_high_short,short,rank_min,0.6,inventory_sales_ratio_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,0,0.0,False
inventory_sales_high_short_1200,inventory_sales_high_short,short,rank_min,0.6,inventory_sales_ratio_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,0,0.0,False
inventory_sales_high_short_1200,inventory_sales_high_short,short,rank_min,0.65,inventory_sales_ratio_rank_120m,full,2011-01-03,2026-06-12,1899,123.00226103919134,True
inventory_sales_high_short_1200,inventory_sales_high_short,short,rank_min,0.65,inventory_sales_ratio_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,0,0.0,False
inventory_sales_high_short_1200,inventory_sales_high_short,short,rank_min,0.65,inventory_sales_ratio_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,0,0.0,False
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.35,inventory_sales_ratio_change_3m_rank_120m,full,2011-01-03,2026-06-12,1037,67.16869125731512,True
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.35,inventory_sales_ratio_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,36,31.307142857142857,False
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.35,inventory_sales_ratio_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,169,169.58035714285714,True
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.4,inventory_sales_ratio_change_3m_rank_120m,full,2011-01-03,2026-06-12,1181,76.49587692853342,True
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.4,inventory_sales_ratio_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,70,60.875,True
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.4,inventory_sales_ratio_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,169,169.58035714285714,True
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.45,inventory_sales_ratio_change_3m_rank_120m,full,2011-01-03,2026-06-12,1580,102.33995389253413,True
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.45,inventory_sales_ratio_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,133,115.66250000000001,True
inventory_sales_falling_long_1330,inventory_sales_falling_long,long,rank_max,0.45,inventory_sales_ratio_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,169,169.58035714285714,True
