campaign_id,variant_id,config_path,min_gap_ticks,max_inversion_bars,full_signals,full_sessions,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_sessions,limited_signals_per_year,latest_252_session_signals,latest_252_session_signals_per_year,density_pass,failure_reason
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,1,2,901,3813,59.546814,2011-02-22,2012-09-07,77,371,52.301887,65,65.0,True,
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,1,3,1118,3813,73.888277,2011-02-22,2012-09-07,95,371,64.528302,78,78.0,True,
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,1,6,1384,3813,91.468135,2011-02-22,2012-09-07,118,371,80.150943,90,90.0,True,
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,2,2,787,3813,52.012589,2011-02-22,2012-09-07,53,371,36.0,64,64.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,2,3,985,3813,65.098348,2011-02-22,2012-09-07,67,371,45.509434,77,77.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,2,6,1273,3813,84.132179,2011-02-22,2012-09-07,95,371,64.528302,89,89.0,True,
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,4,2,619,3813,40.90952,2011-02-22,2012-09-07,29,371,19.698113,60,60.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,4,3,806,3813,53.268293,2011-02-22,2012-09-07,43,371,29.207547,75,75.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
nq_chartfanatics_liquidity_inversion_fvg,prior_high_buy_side_fvg_inversion_short_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_high_buy_side_fvg_inversion_short_1000/config.yaml,4,6,1084,3813,71.641227,2011-02-22,2012-09-07,66,371,44.830189,87,87.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
nq_chartfanatics_liquidity_inversion_fvg,prior_low_sell_side_fvg_inversion_long_1000,campaigns/nq_chartfanatics_liquidity_inversion_fvg/variants/prior_low_sell_side_fvg_inversion_long_1000/config.yaml,1,2,712,3813,47.055862,2011-02-22,2012-09-07,79,371,53.660377,46,46.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
