campaign_id,variant_id,entry.params.min_vwap_deviation_ticks,entry.params.min_counterflow_imbalance,full_signals,full_years,full_signals_per_year,limited_core_start_date,limited_core_end_date,limited_core_signals,limited_core_years,limited_core_signals_per_year,latest_252_session_start,latest_252_session_end,latest_252_signals,density_gate_pass
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,28,0.0,3473,15.441478,224.91369680851065,2011-02-22,2012-09-07,295,1.544148,191.0438829787234,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,28,0.02,3456,15.441478,223.8127659574468,2011-02-22,2012-09-07,293,1.544148,189.74867021276594,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,28,0.04,3439,15.441478,222.71183510638298,2011-02-22,2012-09-07,287,1.544148,185.8630319148936,2025-06-09,2026-06-12,251,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,40,0.0,3153,15.441478,204.19029255319148,2011-02-22,2012-09-07,227,1.544148,147.00664893617022,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,40,0.02,3136,15.441478,203.08936170212766,2011-02-22,2012-09-07,224,1.544148,145.06382978723403,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,40,0.04,3105,15.441478,201.0817819148936,2011-02-22,2012-09-07,222,1.544148,143.76861702127658,2025-06-09,2026-06-12,250,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,56,0.0,2780,15.441478,180.0345744680851,2011-02-22,2012-09-07,141,1.544148,91.3125,2025-06-09,2026-06-12,250,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,56,0.02,2755,15.441478,178.4155585106383,2011-02-22,2012-09-07,137,1.544148,88.72207446808511,2025-06-09,2026-06-12,250,True
nq_vwap_deviation_orderflow_reversion,afternoon_signed_counterflow_1530,56,0.04,2714,15.441478,175.76037234042553,2011-02-22,2012-09-07,132,1.544148,85.48404255319149,2025-06-09,2026-06-12,248,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,28,0.0,3258,15.441478,210.9901595744681,2011-02-22,2012-09-07,281,1.544148,181.97739361702128,2025-06-09,2026-06-12,244,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,28,0.02,3246,15.441478,210.21303191489363,2011-02-22,2012-09-07,279,1.544148,180.68218085106383,2025-06-09,2026-06-12,243,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,28,0.04,3240,15.441478,209.8244680851064,2011-02-22,2012-09-07,279,1.544148,180.68218085106383,2025-06-09,2026-06-12,243,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,40,0.0,2889,15.441478,187.0934840425532,2011-02-22,2012-09-07,204,1.544148,132.11170212765958,2025-06-09,2026-06-12,244,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,40,0.02,2873,15.441478,186.05731382978723,2011-02-22,2012-09-07,203,1.544148,131.46409574468086,2025-06-09,2026-06-12,243,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,40,0.04,2862,15.441478,185.34494680851063,2011-02-22,2012-09-07,201,1.544148,130.16888297872342,2025-06-09,2026-06-12,243,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,56,0.0,2478,15.441478,160.47686170212765,2011-02-22,2012-09-07,106,1.544148,68.64627659574468,2025-06-09,2026-06-12,241,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,56,0.02,2461,15.441478,159.37593085106383,2011-02-22,2012-09-07,105,1.544148,67.99867021276596,2025-06-09,2026-06-12,240,True
nq_vwap_deviation_orderflow_reversion,midday_large20_counterflow_1400,56,0.04,2456,15.441478,159.05212765957447,2011-02-22,2012-09-07,105,1.544148,67.99867021276596,2025-06-09,2026-06-12,240,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,28,0.0,3465,15.441478,224.39561170212767,2011-02-22,2012-09-07,287,1.544148,185.8630319148936,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,28,0.02,3444,15.441478,223.03563829787234,2011-02-22,2012-09-07,281,1.544148,181.97739361702128,2025-06-09,2026-06-12,251,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,28,0.04,3423,15.441478,221.67566489361704,2011-02-22,2012-09-07,279,1.544148,180.68218085106383,2025-06-09,2026-06-12,251,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,40,0.0,3131,15.441478,202.7655585106383,2011-02-22,2012-09-07,215,1.544148,139.23537234042553,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,40,0.02,3104,15.441478,201.01702127659576,2011-02-22,2012-09-07,211,1.544148,136.64494680851064,2025-06-09,2026-06-12,251,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,40,0.04,3058,15.441478,198.03803191489362,2011-02-22,2012-09-07,206,1.544148,133.40691489361703,2025-06-09,2026-06-12,250,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,56,0.0,2689,15.441478,174.14135638297873,2011-02-22,2012-09-07,107,1.544148,69.2938829787234,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,56,0.02,2660,15.441478,172.26329787234042,2011-02-22,2012-09-07,102,1.544148,66.05585106382979,2025-06-09,2026-06-12,250,True
nq_vwap_deviation_orderflow_reversion,midday_signed_counterflow_1400,56,0.04,2615,15.441478,169.34906914893617,2011-02-22,2012-09-07,96,1.544148,62.170212765957444,2025-06-09,2026-06-12,248,True
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,28,0.0,3205,15.441478,207.55784574468086,2011-02-22,2012-09-07,229,1.544148,148.30186170212767,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,28,0.02,3188,15.441478,206.456914893617,2011-02-22,2012-09-07,228,1.544148,147.65425531914894,2025-06-09,2026-06-12,251,True
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,28,0.04,3177,15.441478,205.74454787234043,2011-02-22,2012-09-07,226,1.544148,146.3590425531915,2025-06-09,2026-06-12,251,True
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,40,0.0,2763,15.441478,178.9336436170213,2011-02-22,2012-09-07,127,1.544148,82.24601063829788,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,40,0.02,2742,15.441478,177.57367021276596,2011-02-22,2012-09-07,126,1.544148,81.59840425531915,2025-06-09,2026-06-12,251,True
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,40,0.04,2727,15.441478,176.60226063829788,2011-02-22,2012-09-07,125,1.544148,80.95079787234043,2025-06-09,2026-06-12,250,True
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,56,0.0,2322,15.441478,150.37420212765957,2011-02-22,2012-09-07,54,1.544148,34.97074468085106,2025-06-09,2026-06-12,251,False
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,56,0.02,2299,15.441478,148.8847074468085,2011-02-22,2012-09-07,53,1.544148,34.32313829787234,2025-06-09,2026-06-12,250,False
nq_vwap_deviation_orderflow_reversion,morning_large10_counterflow_1200,56,0.04,2283,15.441478,147.84853723404257,2011-02-22,2012-09-07,52,1.544148,33.67553191489362,2025-06-09,2026-06-12,248,False
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,28,0.0,3256,15.441478,210.86063829787236,2011-02-22,2012-09-07,231,1.544148,149.5970744680851,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,28,0.02,3205,15.441478,207.55784574468086,2011-02-22,2012-09-07,218,1.544148,141.1781914893617,2025-06-09,2026-06-12,250,True
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,28,0.04,3105,15.441478,201.0817819148936,2011-02-22,2012-09-07,206,1.544148,133.40691489361703,2025-06-09,2026-06-12,242,True
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,40,0.0,2847,15.441478,184.37353723404254,2011-02-22,2012-09-07,134,1.544148,86.77925531914893,2025-06-09,2026-06-12,252,True
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,40,0.02,2787,15.441478,180.4878989361702,2011-02-22,2012-09-07,125,1.544148,80.95079787234043,2025-06-09,2026-06-12,249,True
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,40,0.04,2676,15.441478,173.29946808510638,2011-02-22,2012-09-07,115,1.544148,74.4747340425532,2025-06-09,2026-06-12,240,True
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,56,0.0,2393,15.441478,154.9722074468085,2011-02-22,2012-09-07,56,1.544148,36.26595744680851,2025-06-09,2026-06-12,250,False
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,56,0.02,2334,15.441478,151.15132978723403,2011-02-22,2012-09-07,51,1.544148,33.027925531914896,2025-06-09,2026-06-12,248,False
nq_vwap_deviation_orderflow_reversion,morning_signed_counterflow_1200,56,0.04,2205,15.441478,142.7972074468085,2011-02-22,2012-09-07,46,1.544148,29.789893617021278,2025-06-09,2026-06-12,235,False
