campaign_id,variant_id,entry_time,share_mode,lookback_minutes,trend_lookback_minutes,min_trend_return_ticks,share_rank_min,min_abs_return_ticks,signals,signals_per_year
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.45,2,508,71.612118873022
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.45,4,477,67.24208799691239
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.45,6,441,62.167213431107676
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.55,2,463,65.2685256657661
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.55,4,438,61.74430721729062
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.55,6,407,57.37427634118101
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.6,2,431,60.75752605171748
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.6,4,407,57.37427634118101
es_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4,0.6,6,378,53.28618294094944
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.45,2,523,73.72664994210729
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.45,4,487,68.65177537630258
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.45,6,452,63.717869548436894
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.55,2,460,64.84561945194905
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.55,4,433,61.03946352759552
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.55,6,401,56.52846391354689
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.6,2,428,60.33461983790042
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.6,4,404,56.95137012736395
es_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4,0.6,6,374,52.72230798919336
es_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,8,0.45,2,474,66.81918178309533
