variant_id,full_min_tpy,latest1y_min_tpy,limited_core_min_tpy,wfa90_min_tpy,pass
afternoon60_notional_high_downside_window_1530,66.82,43.15,109.01,67.85,False
late_morning30_notional_high_downside_window_1230,68.09,47.16,111.84,68.79,False
midday60_notional_high_balance_window_1430,56.25,58.2,58.04,56.72,True
midday60_notional_high_downside_window_1430,67.95,44.15,111.84,68.94,False
morning15_notional_high_downside_window_1130,69.22,45.15,111.84,70.2,False
morning15_trade_high_downshare_window_1130,60.19,60.21,65.12,60.33,True
morning15_trade_high_downside_window_1130,70.91,53.18,116.09,70.82,True
