variant_id,period,start_date,end_date,signal_start,signal_end,lookback_minutes,flow_mode,fixed_flow_min,min_mes_return_ticks,min_lag_gap_ticks,signal_sessions,available_sessions,signals_per_year
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,3,0.5,1756,1757,251.85657370517927
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,3,1.0,1756,1757,251.85657370517927
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,3,1.5,1606,1757,230.34262948207171
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,5,0.5,1756,1757,251.85657370517927
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,5,1.0,1756,1757,251.85657370517927
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,5,1.5,1594,1757,228.6215139442231
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,8,0.5,1752,1757,251.28286852589642
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,8,1.0,1752,1757,251.28286852589642
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,13:00:00,15:00:00,60,signed,0.005,8,1.5,1553,1757,222.7410358565737
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,3,0.5,178,178,251.99999999999997
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,3,1.0,178,178,251.99999999999997
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,3,1.5,157,178,222.2696629213483
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,5,0.5,178,178,251.99999999999997
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,5,1.0,178,178,251.99999999999997
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,5,1.5,155,178,219.438202247191
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,8,0.5,178,178,251.99999999999997
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,8,1.0,178,178,251.99999999999997
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,13:00:00,15:00:00,60,signed,0.005,8,1.5,149,178,210.94382022471908
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,14:00:00,15:30:00,30,large20,0.005,2,0.5,1754,1757,251.56972111553785
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,14:00:00,15:30:00,30,large20,0.005,2,1.0,1754,1757,251.56972111553785
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,14:00:00,15:30:00,30,large20,0.005,2,1.5,1380,1757,197.92828685258965
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,14:00:00,15:30:00,30,large20,0.005,4,0.5,1750,1757,250.99601593625496
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,14:00:00,15:30:00,30,large20,0.005,4,1.0,1750,1757,250.99601593625496
