variant_id,scope,period_start,period_end,combos,min_signals_per_year,median_signals_per_year,max_signals_per_year,passed_density,weakest_combo,strongest_combo,audit_status,authoritative_evidence
afternoon_large20_two_sided_trend_absorption_1500,full_configured_data,2011-01-03,2026-06-09,9,80.16576472675656,89.62752838892833,97.85796664300922,True,"sweep=2, imbalance=0.08","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,9,61.74154804270462,75.38967971530249,90.33763345195727,True,"sweep=2, imbalance=0.08","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
late_morning_signed_two_sided_trend_absorption_1230,full_configured_data,2011-01-03,2026-06-09,9,76.40698190205819,88.8498491838183,98.70045244854506,True,"sweep=2, imbalance=0.04","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
late_morning_signed_two_sided_trend_absorption_1230,limited_core_grid_test,2011-02-22,2012-09-06,9,76.03959074733096,86.43816725978647,94.88701067615658,True,"sweep=2, imbalance=0.04","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
midday_large10_two_sided_trend_absorption_1400,full_configured_data,2011-01-03,2026-06-09,9,76.53659510290987,87.61852377572747,97.2099006387509,True,"sweep=2, imbalance=0.06","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
midday_large10_two_sided_trend_absorption_1400,limited_core_grid_test,2011-02-22,2012-09-06,9,62.39145907473309,77.3394128113879,91.63745551601424,True,"sweep=2, imbalance=0.06","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
morning_pdh_signed_trend_absorption_short_1130,full_configured_data,2011-01-03,2026-06-09,9,76.40698190205819,88.8498491838183,98.70045244854506,True,"sweep=2, imbalance=0.04","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
morning_pdh_signed_trend_absorption_short_1130,limited_core_grid_test,2011-02-22,2012-09-06,9,76.03959074733096,86.43816725978647,94.88701067615658,True,"sweep=2, imbalance=0.04","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
morning_pdl_signed_trend_absorption_long_1130,full_configured_data,2011-01-03,2026-06-09,9,76.40698190205819,88.8498491838183,98.70045244854506,True,"sweep=2, imbalance=0.04","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
morning_pdl_signed_trend_absorption_long_1130,limited_core_grid_test,2011-02-22,2012-09-06,9,76.03959074733096,86.43816725978647,94.88701067615658,True,"sweep=2, imbalance=0.04","sweep=0, imbalance=0.0",invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
