campaign_id,variant_id,min_impulse_ticks,min_orderflow_imbalance,flow_mode,allow_long,allow_short,impulse_bars,pause_bars,max_pullback_fraction,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,limited_start,limited_end
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,6,0.0,large10,True,True,5,2,0.6,2922,189.3573036033644,252,163.71183478362906,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,6,0.03,large10,True,True,5,2,0.6,2872,186.11710333636637,250,162.4125345075685,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,6,0.06,large10,True,True,5,2,0.6,2826,183.1361190907282,250,162.4125345075685,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,10,0.0,large10,True,True,5,2,0.6,2393,155.07598477852534,166,107.84192291302548,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,10,0.03,large10,True,True,5,2,0.6,2348,152.1598045382271,166,107.84192291302548,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,10,0.06,large10,True,True,5,2,0.6,2302,149.17882029258894,166,107.84192291302548,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,14,0.0,large10,True,True,5,2,0.6,1941,125.7845743648632,104,67.5636143551485,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,14,0.03,large10,True,True,5,2,0.6,1901,123.19241415126479,104,67.5636143551485,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,14,0.06,large10,True,True,5,2,0.6,1861,120.60025393766637,104,67.5636143551485,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,6,0.0,signed_volume,True,True,3,3,0.55,3201,207.43762109321335,273,177.35448768226482,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,6,0.02,signed_volume,True,True,3,3,0.55,3171,205.49350093301456,272,176.70483754423452,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,6,0.04,signed_volume,True,True,3,3,0.55,3108,201.41084859659705,271,176.05518740620425,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,10,0.0,signed_volume,True,True,3,3,0.55,2758,178.72944672761088,205,133.17827829620617,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,10,0.02,signed_volume,True,True,3,3,0.55,2724,176.52611054605222,204,132.5286281581759,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,10,0.04,signed_volume,True,True,3,3,0.55,2648,171.60100614021525,201,130.57967774408507,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,14,0.0,signed_volume,True,True,3,3,0.55,2274,147.36430814307005,130,84.45451794393563,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,14,0.02,signed_volume,True,True,3,3,0.55,2237,144.9665599454915,130,84.45451794393563,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,14,0.04,signed_volume,True,True,3,3,0.55,2153,139.52302349693483,127,82.5055675298448,2011-02-22,2012-09-06
es_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,8,0.0,large10,True,True,4,2,0.55,2692,174.4523823751735,247,160.4635840934777,2011-02-22,2012-09-06
