variant_id,entry_combo,full_signals,signals_per_year_full,limited_core_start,limited_core_end,limited_core_signals,signals_per_year_limited_core,latest_252_signals,fails_full_50_per_year,fails_limited_core_50_per_year,fails_latest_252_50
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.0",946,61.263564,2011-02-22,2012-09-07,94,60.875,55,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.02",937,60.680718,2011-02-22,2012-09-07,94,60.875,54,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.04",937,60.680718,2011-02-22,2012-09-07,95,61.522606,54,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.0",936,60.615957,2011-02-22,2012-09-07,92,59.579787,55,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.02",928,60.097872,2011-02-22,2012-09-07,92,59.579787,54,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=1,entry.params.base_params.min_orderflow_imbalance=0.04",928,60.097872,2011-02-22,2012-09-07,93,60.227394,54,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.0",923,59.774069,2011-02-22,2012-09-07,91,58.932181,55,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.02",914,59.191223,2011-02-22,2012-09-07,91,58.932181,54,False,False,False
or15_large10_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=2,entry.params.base_params.min_orderflow_imbalance=0.04",914,59.191223,2011-02-22,2012-09-07,92,59.579787,54,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.0",1024,66.314894,2011-02-22,2012-09-07,105,67.99867,63,False,False,False
or15_signed_pivot_flow_breakout_1030,"entry.params.base_params.breakout_buffer_ticks=0,entry.params.base_params.min_orderflow_imbalance=0.02",999,64.695878,2011-02-22,2012-09-07,100,64.760638,62,False,False,False
