campaign_id,variant_id,window,breakout_buffer_ticks,min_orderflow_imbalance,signals,span_years,signals_per_year,density_pass_50_per_year
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,limited_core_window,0,0.04,190,1.541409993155373,123.26376554174067,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,latest_252_sessions,0,0.04,120,1.0075290896646132,119.10326086956523,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,full_available_history,1,0.0,1984,15.43874058863792,128.5078914701188,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,limited_core_window,1,0.0,186,1.541409993155373,120.66873889875666,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,latest_252_sessions,1,0.0,119,1.0075290896646132,118.11073369565219,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,full_available_history,1,0.02,1985,15.43874058863792,128.5726635928356,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,limited_core_window,1,0.02,187,1.541409993155373,121.31749555950266,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,latest_252_sessions,1,0.02,120,1.0075290896646132,119.10326086956523,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,full_available_history,1,0.04,1984,15.43874058863792,128.5078914701188,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,limited_core_window,1,0.04,188,1.541409993155373,121.96625222024866,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,latest_252_sessions,1,0.04,120,1.0075290896646132,119.10326086956523,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,full_available_history,2,0.0,1980,15.43874058863792,128.24880297925162,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,limited_core_window,2,0.0,185,1.541409993155373,120.01998223801066,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,latest_252_sessions,2,0.0,119,1.0075290896646132,118.11073369565219,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,full_available_history,2,0.02,1980,15.43874058863792,128.24880297925162,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,limited_core_window,2,0.02,186,1.541409993155373,120.66873889875666,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,latest_252_sessions,2,0.02,120,1.0075290896646132,119.10326086956523,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,full_available_history,2,0.04,1979,15.43874058863792,128.18403085653483,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,limited_core_window,2,0.04,187,1.541409993155373,121.31749555950266,True
nq_pivot_filtered_prior_value_area_acceptance,late_morning_large10_two_sided_pivot_acceptance,latest_252_sessions,2,0.04,120,1.0075290896646132,119.10326086956523,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,0,0.0,1962,15.43874058863792,127.08290477034934,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,0,0.0,188,1.541409993155373,121.96625222024866,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,0,0.0,125,1.0075290896646132,124.06589673913045,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,0,0.02,1921,15.43874058863792,124.4272477389608,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,0,0.02,189,1.541409993155373,122.61500888099467,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,0,0.02,117,1.0075290896646132,116.1256793478261,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,0,0.04,1883,15.43874058863792,121.96590707572264,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,0,0.04,190,1.541409993155373,123.26376554174067,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,0,0.04,118,1.0075290896646132,117.11820652173914,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,1,0.0,1956,15.43874058863792,126.69427203404858,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,1,0.0,190,1.541409993155373,123.26376554174067,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,1,0.0,125,1.0075290896646132,124.06589673913045,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,1,0.02,1919,15.43874058863792,124.29770349352722,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,1,0.02,191,1.541409993155373,123.91252220248667,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,1,0.02,117,1.0075290896646132,116.1256793478261,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,1,0.04,1881,15.43874058863792,121.83636283028905,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,1,0.04,190,1.541409993155373,123.26376554174067,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,1,0.04,118,1.0075290896646132,117.11820652173914,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,2,0.0,1953,15.43874058863792,126.4999556658982,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,2,0.0,188,1.541409993155373,121.96625222024866,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,2,0.0,125,1.0075290896646132,124.06589673913045,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,full_available_history,2,0.02,1914,15.43874058863792,123.97384287994325,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,limited_core_window,2,0.02,188,1.541409993155373,121.96625222024866,True
nq_pivot_filtered_prior_value_area_acceptance,midday_signed_two_sided_pivot_acceptance,latest_252_sessions,2,0.02,117,1.0075290896646132,116.1256793478261,True
