variant_id,entry_time,volatility_gate_column,share_column,flow_window_minutes,min_abs_return_ticks,min_trend_return_ticks,share_rank_min,min_orderflow_imbalance,signals,signals_per_year
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.35,0.0,419,58.997590593677714
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.35,0.005,394,55.47744795682344
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.35,0.01,365,51.39408249807247
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.45,0.0,377,53.083750963762526
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.45,0.005,354,49.84521973785659
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.45,0.01,326,45.9026599845798
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.55,0.0,321,45.19863145720894
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.55,0.005,303,42.66412875867386
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,12,8,0.55,0.01,284,39.98882035466461
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.35,0.0,411,57.871144949884346
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.35,0.005,389,54.77341942945258
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.35,0.01,362,50.971665381649956
vol20_1030_signed_window15_pressure_reversal,10:30:00,vol20_rank_252,mes_trade_share_15_rank252,15,16,8,0.45,0.0,370,52.09811102544333
