campaign_id,variant_id,max_retest_bars,min_orderflow_imbalance,full_signals,full_signal_days,full_signals_per_year,limited_core_start,limited_core_end,limited_core_signals,limited_core_signal_days,limited_core_signals_per_year,latest252_start,latest252_end,latest252_signals,latest252_signal_days,latest252_signals_per_year,full_long_signals,full_short_signals,density_pass
nq_opening_range_retest_orderflow,or30_large10_absorption_retest_1130,4,0.02,1099,1099,71.18456286575633,2011-02-22,2012-09-07,137,137,88.87966252220248,2025-06-09,2026-06-12,57,57,56.574048913043484,645,454,True
nq_opening_range_retest_orderflow,or30_large10_absorption_retest_1130,4,0.05,1066,1066,69.04708281610215,2011-02-22,2012-09-07,134,134,86.93339253996447,2025-06-09,2026-06-12,55,55,54.5889945652174,628,438,True
nq_opening_range_retest_orderflow,or30_large10_absorption_retest_1130,4,0.08,1039,1039,67.29823550274871,2011-02-22,2012-09-07,128,128,83.04085257548846,2025-06-09,2026-06-12,53,53,52.60394021739131,606,433,True
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,2,0.005,873,873,56.546063131760945,2011-02-22,2012-09-07,97,97,62.929396092362346,2025-06-09,2026-06-12,45,45,44.66372282608696,526,347,False
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,2,0.02,777,777,50.327939350948746,2011-02-22,2012-09-07,91,91,59.036856127886324,2025-06-09,2026-06-12,35,35,34.73845108695652,477,300,False
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,2,0.04,630,630,40.80643731158007,2011-02-22,2012-09-07,83,83,53.84680284191829,2025-06-09,2026-06-12,22,22,21.835597826086957,399,231,False
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,3,0.005,906,906,58.68354318141514,2011-02-22,2012-09-07,104,104,67.47069271758437,2025-06-09,2026-06-12,43,43,42.678668478260875,540,366,False
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,3,0.02,811,811,52.530191523319736,2011-02-22,2012-09-07,95,95,61.631882770870334,2025-06-09,2026-06-12,34,34,33.745923913043484,493,318,False
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,3,0.04,667,667,43.203005852101434,2011-02-22,2012-09-07,87,87,56.44182948490231,2025-06-09,2026-06-12,23,23,22.828125000000004,418,249,False
nq_opening_range_retest_orderflow,or30_signed_absorption_retest_1100,4,0.005,920,920,59.59035289945025,2011-02-22,2012-09-07,101,101,65.52442273534636,2025-06-09,2026-06-12,47,47,46.64877717391305,549,371,False
