campaign_id,variant_id,concept,lookback_bars,start_time,end_time,share_mode,mes_imbalance_column,min_sweep_ticks,share_rank_min,one_trade_per_day_signal_count,annualized_signal_count,decision
es_mes_footprint_liquidity_sweep_reversion,prior_day_full_session_notional,rejected_pre_pnl_level_form,,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.55,105,14.801717483597066,reject_density
es_mes_footprint_liquidity_sweep_reversion,prior_day_full_session_notional,rejected_pre_pnl_level_form,,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.65,86,12.123311462755693,reject_density
es_mes_footprint_liquidity_sweep_reversion,prior_day_full_session_notional,rejected_pre_pnl_level_form,,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.55,93,13.11009262832883,reject_density
es_mes_footprint_liquidity_sweep_reversion,prior_day_full_session_notional,rejected_pre_pnl_level_form,,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.65,75,10.572655345426476,reject_density
es_mes_footprint_liquidity_sweep_reversion,or30_full_session_notional,rejected_pre_pnl_level_form,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.55,230,32.422809725974524,reject_density
es_mes_footprint_liquidity_sweep_reversion,or30_full_session_notional,rejected_pre_pnl_level_form,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.65,187,26.36115399459668,reject_density
es_mes_footprint_liquidity_sweep_reversion,or30_full_session_notional,rejected_pre_pnl_level_form,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.55,207,29.18052875337707,reject_density
es_mes_footprint_liquidity_sweep_reversion,or30_full_session_notional,rejected_pre_pnl_level_form,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.65,169,23.823716711694324,reject_density
es_mes_footprint_liquidity_sweep_reversion,or60_midday_notional,rejected_pre_pnl_level_form,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.55,216,30.44924739482825,reject_density
es_mes_footprint_liquidity_sweep_reversion,or60_midday_notional,rejected_pre_pnl_level_form,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.65,177,24.95146661520648,reject_density
es_mes_footprint_liquidity_sweep_reversion,or60_midday_notional,rejected_pre_pnl_level_form,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.55,188,26.5021227325357,reject_density
es_mes_footprint_liquidity_sweep_reversion,or60_midday_notional,rejected_pre_pnl_level_form,60,10:30:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.65,152,21.42724816673099,reject_density
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_notional_two_sided,selected_rolling_range,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.55,878,123.77055191045928,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_notional_two_sided,selected_rolling_range,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,1,0.65,756,106.57236588189888,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_notional_two_sided,selected_rolling_range,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.55,744,104.88074102663064,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_notional_two_sided,selected_rolling_range,30,10:00:00,15:00:00,notional,mes_trade_orderflow_imbalance_15,2,0.65,638,89.93805480509455,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_trade_large10_two_sided,selected_rolling_range,30,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,1,0.55,851,119.96439598610574,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_trade_large10_two_sided,selected_rolling_range,30,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,1,0.65,761,107.27720957159397,eligible
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_trade_large10_two_sided,selected_rolling_range,30,10:00:00,15:00:00,trade,mes_trade_orderflow_large10_imbalance_15,2,0.55,732,103.1891161713624,eligible
