campaign_id,variant_id,entry.params.min_open_extension_ticks,entry.params.min_orderflow_imbalance,full_signals,full_years,full_signals_per_year,limited_core_start_date,limited_core_end_date,limited_core_signals,limited_core_years,limited_core_signals_per_year,latest_252_session_start,latest_252_session_end,latest_252_signals,density_gate_pass
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,20,0.2,1990,15.441478,128.87367021276597,2011-02-22,2012-09-07,164,1.544148,106.20744680851064,2025-06-09,2026-06-12,138,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,20,0.3,1989,15.441478,128.8089095744681,2011-02-22,2012-09-07,163,1.544148,105.55984042553192,2025-06-09,2026-06-12,138,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,20,0.4,1988,15.441478,128.7441489361702,2011-02-22,2012-09-07,162,1.544148,104.9122340425532,2025-06-09,2026-06-12,138,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,28,0.2,1816,15.441478,117.60531914893618,2011-02-22,2012-09-07,132,1.544148,85.48404255319149,2025-06-09,2026-06-12,133,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,28,0.3,1815,15.441478,117.5405585106383,2011-02-22,2012-09-07,131,1.544148,84.83643617021276,2025-06-09,2026-06-12,133,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,28,0.4,1814,15.441478,117.47579787234042,2011-02-22,2012-09-07,130,1.544148,84.18882978723404,2025-06-09,2026-06-12,133,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,40,0.2,1588,15.441478,102.83989361702127,2011-02-22,2012-09-07,94,1.544148,60.875,2025-06-09,2026-06-12,133,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,40,0.3,1588,15.441478,102.83989361702127,2011-02-22,2012-09-07,94,1.544148,60.875,2025-06-09,2026-06-12,133,True
nq_session_open_orderflow_reclaim,afternoon_large20_down_open_reclaim_long,40,0.4,1587,15.441478,102.7751329787234,2011-02-22,2012-09-07,93,1.544148,60.22739361702128,2025-06-09,2026-06-12,133,True
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,20,0.2,1718,15.441478,111.25877659574468,2011-02-22,2012-09-07,142,1.544148,91.96010638297872,2025-06-09,2026-06-12,120,True
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,20,0.3,1716,15.441478,111.12925531914894,2011-02-22,2012-09-07,142,1.544148,91.96010638297872,2025-06-09,2026-06-12,120,True
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,20,0.4,1710,15.441478,110.74069148936171,2011-02-22,2012-09-07,142,1.544148,91.96010638297872,2025-06-09,2026-06-12,119,True
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,28,0.2,1551,15.441478,100.44375000000001,2011-02-22,2012-09-07,109,1.544148,70.58909574468085,2025-06-09,2026-06-12,118,True
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,28,0.3,1549,15.441478,100.31422872340426,2011-02-22,2012-09-07,109,1.544148,70.58909574468085,2025-06-09,2026-06-12,118,True
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,28,0.4,1543,15.441478,99.92566489361703,2011-02-22,2012-09-07,109,1.544148,70.58909574468085,2025-06-09,2026-06-12,117,True
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,40,0.2,1348,15.441478,87.29734042553191,2011-02-22,2012-09-07,71,1.544148,45.98005319148936,2025-06-09,2026-06-12,113,False
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,40,0.3,1346,15.441478,87.16781914893618,2011-02-22,2012-09-07,71,1.544148,45.98005319148936,2025-06-09,2026-06-12,113,False
nq_session_open_orderflow_reclaim,afternoon_large20_up_open_reject_short,40,0.4,1340,15.441478,86.77925531914894,2011-02-22,2012-09-07,71,1.544148,45.98005319148936,2025-06-09,2026-06-12,112,False
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,20,0.2,3019,15.441478,195.5123670212766,2011-02-22,2012-09-07,240,1.544148,155.4255319148936,2025-06-09,2026-06-12,226,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,20,0.3,3019,15.441478,195.5123670212766,2011-02-22,2012-09-07,240,1.544148,155.4255319148936,2025-06-09,2026-06-12,226,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,20,0.4,3019,15.441478,195.5123670212766,2011-02-22,2012-09-07,240,1.544148,155.4255319148936,2025-06-09,2026-06-12,226,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,28,0.2,2791,15.441478,180.74694148936172,2011-02-22,2012-09-07,203,1.544148,131.46409574468086,2025-06-09,2026-06-12,219,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,28,0.3,2791,15.441478,180.74694148936172,2011-02-22,2012-09-07,203,1.544148,131.46409574468086,2025-06-09,2026-06-12,219,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,28,0.4,2790,15.441478,180.68218085106383,2011-02-22,2012-09-07,202,1.544148,130.81648936170214,2025-06-09,2026-06-12,219,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,40,0.2,2492,15.441478,161.38351063829788,2011-02-22,2012-09-07,151,1.544148,97.78856382978724,2025-06-09,2026-06-12,214,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,40,0.3,2492,15.441478,161.38351063829788,2011-02-22,2012-09-07,151,1.544148,97.78856382978724,2025-06-09,2026-06-12,214,True
nq_session_open_orderflow_reclaim,midday_large10_two_sided_open_reclaim,40,0.4,2489,15.441478,161.18922872340426,2011-02-22,2012-09-07,149,1.544148,96.49335106382979,2025-06-09,2026-06-12,214,True
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,20,0.2,2406,15.441478,155.81409574468086,2011-02-22,2012-09-07,171,1.544148,110.7406914893617,2025-06-09,2026-06-12,181,True
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,20,0.3,2403,15.441478,155.61981382978723,2011-02-22,2012-09-07,171,1.544148,110.7406914893617,2025-06-09,2026-06-12,181,True
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,20,0.4,2396,15.441478,155.16648936170213,2011-02-22,2012-09-07,170,1.544148,110.09308510638297,2025-06-09,2026-06-12,181,True
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,28,0.2,2146,15.441478,138.97632978723405,2011-02-22,2012-09-07,125,1.544148,80.95079787234043,2025-06-09,2026-06-12,176,True
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,28,0.3,2143,15.441478,138.78204787234043,2011-02-22,2012-09-07,125,1.544148,80.95079787234043,2025-06-09,2026-06-12,176,True
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,28,0.4,2137,15.441478,138.39348404255318,2011-02-22,2012-09-07,124,1.544148,80.3031914893617,2025-06-09,2026-06-12,176,True
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,40,0.2,1808,15.441478,117.08723404255319,2011-02-22,2012-09-07,70,1.544148,45.33244680851064,2025-06-09,2026-06-12,175,False
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,40,0.3,1805,15.441478,116.89295212765958,2011-02-22,2012-09-07,70,1.544148,45.33244680851064,2025-06-09,2026-06-12,175,False
nq_session_open_orderflow_reclaim,morning_down_open_reclaim_long,40,0.4,1800,15.441478,116.56914893617021,2011-02-22,2012-09-07,69,1.544148,44.68484042553192,2025-06-09,2026-06-12,175,False
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,20,0.2,2301,15.441478,149.01422872340424,2011-02-22,2012-09-07,166,1.544148,107.50265957446808,2025-06-09,2026-06-12,183,True
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,20,0.3,2290,15.441478,148.30186170212767,2011-02-22,2012-09-07,165,1.544148,106.85505319148936,2025-06-09,2026-06-12,183,True
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,20,0.4,2281,15.441478,147.7190159574468,2011-02-22,2012-09-07,163,1.544148,105.55984042553192,2025-06-09,2026-06-12,182,True
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,28,0.2,2033,15.441478,131.65837765957448,2011-02-22,2012-09-07,118,1.544148,76.41755319148936,2025-06-09,2026-06-12,180,True
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,28,0.3,2021,15.441478,130.88125,2011-02-22,2012-09-07,117,1.544148,75.76994680851064,2025-06-09,2026-06-12,180,True
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,28,0.4,2011,15.441478,130.23364361702127,2011-02-22,2012-09-07,115,1.544148,74.4747340425532,2025-06-09,2026-06-12,179,True
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,40,0.2,1722,15.441478,111.51781914893617,2011-02-22,2012-09-07,63,1.544148,40.799202127659576,2025-06-09,2026-06-12,172,False
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,40,0.3,1710,15.441478,110.74069148936171,2011-02-22,2012-09-07,62,1.544148,40.15159574468085,2025-06-09,2026-06-12,172,False
nq_session_open_orderflow_reclaim,morning_up_open_reject_short,40,0.4,1705,15.441478,110.41688829787235,2011-02-22,2012-09-07,61,1.544148,39.503989361702125,2025-06-09,2026-06-12,171,False
