variant_id,min_orderflow_imbalance,window,signals,signals_per_year
broad_up_large10_vwap_accept_all_day,0.0,full,1267,82.10996273953158
broad_up_large10_vwap_accept_all_day,0.0,limited_core,124,80.58896797153024
broad_up_large10_vwap_accept_all_day,0.0,wfa90,1142,81.75529204233634
broad_up_large10_vwap_accept_all_day,0.0,latest1y,90,90.30906593406593
broad_up_large10_vwap_accept_all_day,0.02,full,1051,68.11173704755146
broad_up_large10_vwap_accept_all_day,0.02,limited_core,98,63.69128113879003
broad_up_large10_vwap_accept_all_day,0.02,wfa90,934,66.86466091728734
broad_up_large10_vwap_accept_all_day,0.02,latest1y,82,82.2815934065934
broad_up_large10_vwap_accept_all_day,0.04,full,840,54.437544357700496
broad_up_large10_vwap_accept_all_day,0.04,limited_core,75,48.74332740213523
broad_up_large10_vwap_accept_all_day,0.04,wfa90,727,52.045619364954916
broad_up_large10_vwap_accept_all_day,0.04,latest1y,80,80.27472527472527
broad_up_large20_vwap_accept_all_day,0.0,full,1289,83.53570794889993
broad_up_large20_vwap_accept_all_day,0.0,limited_core,121,78.63923487544484
broad_up_large20_vwap_accept_all_day,0.0,wfa90,1165,83.40185221481772
broad_up_large20_vwap_accept_all_day,0.0,latest1y,90,90.30906593406593
broad_up_large20_vwap_accept_all_day,0.02,full,1144,74.13875088715402
broad_up_large20_vwap_accept_all_day,0.02,limited_core,99,64.3411921708185
broad_up_large20_vwap_accept_all_day,0.02,wfa90,1022,73.16454331634652
broad_up_large20_vwap_accept_all_day,0.02,latest1y,88,88.3021978021978
broad_up_large20_vwap_accept_all_day,0.04,full,1008,65.3250532292406
broad_up_large20_vwap_accept_all_day,0.04,limited_core,80,51.99288256227758
broad_up_large20_vwap_accept_all_day,0.04,wfa90,889,63.64313014504116
broad_up_large20_vwap_accept_all_day,0.04,latest1y,86,86.29532967032966
broad_up_signed_vwap_accept_all_day,0.0,full,1276,82.69322214336408
broad_up_signed_vwap_accept_all_day,0.0,limited_core,127,82.53870106761565
broad_up_signed_vwap_accept_all_day,0.0,wfa90,1153,82.54277734221874
broad_up_signed_vwap_accept_all_day,0.0,latest1y,89,89.30563186813187
broad_up_signed_vwap_accept_all_day,0.02,full,748,48.475337118523775
broad_up_signed_vwap_accept_all_day,0.02,limited_core,91,59.14190391459074
broad_up_signed_vwap_accept_all_day,0.02,wfa90,690,49.3968051744414
broad_up_signed_vwap_accept_all_day,0.02,latest1y,38,38.130494505494504
broad_up_signed_vwap_accept_all_day,0.04,full,353,22.876729950319376
broad_up_signed_vwap_accept_all_day,0.04,limited_core,68,44.19395017793594
broad_up_signed_vwap_accept_all_day,0.04,wfa90,340,24.34045472363779
broad_up_signed_vwap_accept_all_day,0.04,latest1y,7,7.024038461538462
cyclical_up_large10_vwap_accept_all_day,0.0,full,1341,86.90565117104329
cyclical_up_large10_vwap_accept_all_day,0.0,limited_core,129,83.83852313167259
cyclical_up_large10_vwap_accept_all_day,0.0,wfa90,1199,85.8358976871815
cyclical_up_large10_vwap_accept_all_day,0.0,latest1y,102,102.35027472527472
cyclical_up_large10_vwap_accept_all_day,0.02,full,1116,72.32416607523066
cyclical_up_large10_vwap_accept_all_day,0.02,limited_core,104,67.59074733096085
cyclical_up_large10_vwap_accept_all_day,0.02,wfa90,982,70.30096040768326
cyclical_up_large10_vwap_accept_all_day,0.02,latest1y,94,94.32280219780219
cyclical_up_large10_vwap_accept_all_day,0.04,full,895,58.00190738112136
cyclical_up_large10_vwap_accept_all_day,0.04,limited_core,80,51.99288256227758
cyclical_up_large10_vwap_accept_all_day,0.04,wfa90,768,54.98079184633477
cyclical_up_large10_vwap_accept_all_day,0.04,latest1y,90,90.30906593406593
cyclical_up_large20_vwap_accept_all_day,0.0,full,1361,88.20178317955997
cyclical_up_large20_vwap_accept_all_day,0.0,limited_core,126,81.88879003558718
cyclical_up_large20_vwap_accept_all_day,0.0,wfa90,1223,87.55404743237946
cyclical_up_large20_vwap_accept_all_day,0.0,latest1y,100,100.34340659340658
cyclical_up_large20_vwap_accept_all_day,0.02,full,1216,78.80482611781406
cyclical_up_large20_vwap_accept_all_day,0.02,limited_core,106,68.89056939501779
cyclical_up_large20_vwap_accept_all_day,0.02,wfa90,1080,77.31673853390828
cyclical_up_large20_vwap_accept_all_day,0.02,latest1y,98,98.33653846153845
cyclical_up_large20_vwap_accept_all_day,0.04,full,1064,68.9542228530873
cyclical_up_large20_vwap_accept_all_day,0.04,limited_core,86,55.8923487544484
cyclical_up_large20_vwap_accept_all_day,0.04,wfa90,931,66.6498921991376
cyclical_up_large20_vwap_accept_all_day,0.04,latest1y,96,96.32967032967032
