variant_id,entry_combo_count,full_min_tpy,limited_core_min_tpy,wfa90_min_tpy,latest1y_min_tpy,pass
broad_up_large10_vwap_accept_all_day,3,54.44,48.74,52.05,80.27,False
broad_up_large20_vwap_accept_all_day,3,65.33,51.99,63.64,86.3,True
broad_up_signed_vwap_accept_all_day,3,22.88,44.19,24.34,7.02,False
cyclical_up_large10_vwap_accept_all_day,3,58.0,51.99,54.98,90.31,True
cyclical_up_large20_vwap_accept_all_day,3,68.95,55.89,66.65,96.33,True
