campaign_id,variant_id,min_orderflow_imbalance,min_nq_lead_gap_bps,full_signals,full_signals_per_year,limited_start,limited_end,limited_signals,limited_signals_per_year
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,0.02,0.5,2344,151.8797232570516,2011-02-22,2012-09-06,221,143.3752220248668
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,0.02,1.0,2312,149.80627993613624,2011-02-22,2012-09-06,217,140.78019538188278
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,0.02,2.0,2231,144.55787653006917,2011-02-22,2012-09-06,203,131.6976021314387
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,0.04,0.5,2318,150.19505055880788,2011-02-22,2012-09-06,220,142.72646536412077
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,0.04,1.0,2288,148.2511974454497,2011-02-22,2012-09-06,216,140.13143872113676
es_opening_range_nq_orderflow_breakout,or30_nq15_signed_breakout_1030,0.04,2.0,2199,142.4844332091538,2011-02-22,2012-09-06,201,130.4000888099467
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.0,0.5,3243,210.1305215540181,2011-02-22,2012-09-06,306,198.51953818827707
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.0,1.0,3230,209.28818520489622,2011-02-22,2012-09-06,304,197.22202486678506
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.0,2.0,3189,206.63158594997338,2011-02-22,2012-09-06,298,193.32948490230905
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.02,0.5,3237,209.74175093134644,2011-02-22,2012-09-06,305,197.87078152753108
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.02,1.0,3225,208.9642096860032,2011-02-22,2012-09-06,303,196.57326820603907
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.02,2.0,3177,205.85404470463013,2011-02-22,2012-09-06,297,192.68072824156306
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.04,0.5,3230,209.28818520489622,2011-02-22,2012-09-06,304,197.22202486678506
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.04,1.0,3215,208.31625864821712,2011-02-22,2012-09-06,302,195.92451154529306
es_opening_range_nq_orderflow_breakout,or30_nq30_signed_breakout_1130,0.04,2.0,3168,205.27088877062266,2011-02-22,2012-09-06,296,192.03197158081704
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.0,0.5,3033,196.5235497605109,2011-02-22,2012-09-06,276,179.05683836589697
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.0,1.0,3016,195.4220329962746,2011-02-22,2012-09-06,274,177.75932504440496
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.0,2.0,2977,192.895023948909,2011-02-22,2012-09-06,269,174.51554174067496
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.02,0.5,3027,196.13477913783927,2011-02-22,2012-09-06,276,179.05683836589697
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.02,1.0,3009,194.96846726982437,2011-02-22,2012-09-06,274,177.75932504440496
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.02,2.0,2971,192.50625332623736,2011-02-22,2012-09-06,269,174.51554174067496
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.04,0.5,3020,195.68121341138902,2011-02-22,2012-09-06,274,177.75932504440496
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.04,1.0,3000,194.3853113358169,2011-02-22,2012-09-06,272,176.46181172291296
es_opening_range_nq_orderflow_breakout,or60_nq60_signed_breakout_1300,0.04,2.0,2961,191.85830228845128,2011-02-22,2012-09-06,267,173.21802841918296
