campaign_id,variant_id,scope,timeframe,entry_combo_count,min_signals_per_year,median_signals_per_year,max_signals_per_year,all_entry_corners_pass_density,weakest_band_z,weakest_min_orderflow_imbalance,strongest_band_z,strongest_min_orderflow_imbalance,period_start,period_end
es_rolling_stat_envelope_orderflow_reversion,afternoon_5m_large20_24bar_reversion_1500,limited_core_grid_test,5m,9,242.634991,242.634991,242.634991,True,1.0,0.0,1.0,0.0,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,afternoon_5m_large20_24bar_reversion_1500,full_configured_data,5m,9,246.67496,247.193321,247.322911,True,1.5,0.1,1.0,0.0,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,limited_core_grid_test,1m,9,242.634991,242.634991,242.634991,True,1.5,0.0,1.5,0.0,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,9,247.322911,247.322911,247.322911,True,1.5,0.0,1.5,0.0,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,9,242.634991,242.634991,242.634991,True,1.0,0.0,1.0,0.0,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,9,243.888771,246.739755,247.193321,True,1.5,0.1,1.0,0.0,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,9,241.986234,242.634991,242.634991,True,1.5,0.0,1.0,0.0,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,9,246.80455,247.258116,247.322911,True,1.5,0.05,1.0,0.0,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,9,242.634991,242.634991,242.634991,True,1.0,0.0,1.0,0.0,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,9,245.897419,247.258116,247.322911,True,1.5,0.05,1.0,0.0,2011-01-03,2026-06-09
