variant_id,setup_mode,raw_signals,sessions,signals_per_year,limited_core_sessions,limited_core_signals_per_year
all_aoi_delayed_trap_1500,all_aoi_delayed_trap,1938,1113,77.3,243,167.1
market_aoi_delayed_trap_1500,market_aoi_delayed_trap,1450,914,63.5,212,145.8
opening_aoi_delayed_trap_1200,opening_aoi_delayed_trap,597,460,31.9,125,86.0
overnight_aoi_delayed_trap_1530,overnight_aoi_delayed_trap,845,587,40.8,144,99.1
value_area_delayed_trap_1500,value_area_delayed_trap,770,522,36.2,122,83.9
all_aoi_delayed_continuation_1500,all_aoi_delayed_continuation,2968,856,59.4,139,95.6
market_aoi_delayed_continuation_1500,market_aoi_delayed_continuation,2686,777,54.0,130,89.4
value_area_delayed_continuation_1500,value_area_delayed_continuation,9788,2240,155.5,334,229.7
