variant,driver,operator,threshold,volume_threshold,signals,signals_per_year
tech_1d_strength_long_1000,xlk_minus_spy_1d_rank_252,>=,0.55,,1745,113.0273541408051
tech_1d_strength_long_1000,xlk_minus_spy_1d_rank_252,>=,0.6,,1564,101.30359992906543
tech_1d_strength_long_1000,xlk_minus_spy_1d_rank_252,>=,0.65,,1389,89.96847845362653
tech_5d_strength_long_1030,xlk_minus_spy_5d_rank_252,>=,0.55,,1755,113.67507536797304
tech_5d_strength_long_1030,xlk_minus_spy_5d_rank_252,>=,0.6,,1580,102.33995389253413
tech_5d_strength_long_1030,xlk_minus_spy_5d_rank_252,>=,0.65,,1398,90.55142755807766
tech_1d_weakness_short_1000,xlk_minus_spy_1d_rank_252,<=,0.45,,1704,110.37169710941656
tech_1d_weakness_short_1000,xlk_minus_spy_1d_rank_252,<=,0.4,,1499,97.09341195247384
tech_1d_weakness_short_1000,xlk_minus_spy_1d_rank_252,<=,0.35,,1334,86.40601170420287
tech_5d_weakness_short_1130,xlk_minus_spy_5d_rank_252,<=,0.45,,1671,108.23421705976236
tech_5d_weakness_short_1130,xlk_minus_spy_5d_rank_252,<=,0.4,,1470,95.21502039368681
tech_5d_weakness_short_1130,xlk_minus_spy_5d_rank_252,<=,0.35,,1315,85.17534137258379
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.55,0.55,790,51.16997694626706
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.55,0.6,697,45.146169533605246
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.55,0.65,604,39.12236212094343
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.6,0.55,752,48.7086362830289
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.6,0.6,666,43.13823372938464
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.6,0.65,580,37.56783117574038
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.65,0.55,698,45.21094165632204
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.65,0.6,624,40.417804575279305
tech_attention_strength_long_1330,xlk_attention_pressure_1d_rank_252,>=,0.65,0.65,543,35.17126263521901
