campaign_id,variant_id,combo_idx,orderflow_mode,flow_confirmation,start_time,end_time,close_buffer_ticks,retest_tolerance_ticks,retest_window_bars,min_orderflow_imbalance,full_sessions,full_signals,full_signals_per_year,limited_core_sessions,limited_core_signals,limited_core_signals_per_year,latest_252_sessions,latest_252_signals,pass_full,pass_limited_core,pass_latest_252,pass_all_windows
nq_prior_session_flip_retest_orderflow,midday_signed_aligned_two_sided_flip,7,signed,aligned,10:30:00,14:00:00,1,6,12,0.0,3813,1521,100.52242328874901,371,142,96.45283018867924,252,91,True,True,True,True
nq_prior_session_flip_retest_orderflow,midday_signed_aligned_two_sided_flip,8,signed,aligned,10:30:00,14:00:00,1,6,12,0.001,3813,1517,100.25806451612902,371,142,96.45283018867924,252,90,True,True,True,True
nq_prior_session_flip_retest_orderflow,midday_signed_aligned_two_sided_flip,9,signed,aligned,10:30:00,14:00:00,1,6,12,0.003,3813,1506,99.53107789142408,371,141,95.77358490566037,252,88,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,1,signed,absorbed,09:35:00,11:30:00,0,4,4,0.0,3813,1115,73.69000786782061,371,113,76.75471698113208,252,58,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,2,signed,absorbed,09:35:00,11:30:00,0,4,4,0.001,3813,1110,73.35955940204563,371,112,76.0754716981132,252,58,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,3,signed,absorbed,09:35:00,11:30:00,0,4,4,0.003,3813,1095,72.36821400472068,371,112,76.0754716981132,252,56,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,4,signed,absorbed,09:35:00,11:30:00,0,4,8,0.0,3813,1139,75.27616050354052,371,113,76.75471698113208,252,59,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,5,signed,absorbed,09:35:00,11:30:00,0,4,8,0.001,3813,1133,74.87962234461054,371,112,76.0754716981132,252,59,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,6,signed,absorbed,09:35:00,11:30:00,0,4,8,0.003,3813,1117,73.8221872541306,371,112,76.0754716981132,252,57,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,7,signed,absorbed,09:35:00,11:30:00,0,4,12,0.0,3813,1145,75.6726986624705,371,112,76.0754716981132,252,58,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,8,signed,absorbed,09:35:00,11:30:00,0,4,12,0.001,3813,1140,75.34225019669552,371,111,75.39622641509433,252,58,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_absorbed_two_sided_flip,9,signed,absorbed,09:35:00,11:30:00,0,4,12,0.003,3813,1125,74.35090479937057,371,111,75.39622641509433,252,57,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,1,signed,aligned,09:35:00,11:30:00,0,4,4,0.0,3813,1327,87.70102281667978,371,127,86.26415094339622,252,81,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,2,signed,aligned,09:35:00,11:30:00,0,4,4,0.001,3813,1322,87.3705743509048,371,127,86.26415094339622,252,81,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,3,signed,aligned,09:35:00,11:30:00,0,4,4,0.003,3813,1312,86.70967741935483,371,127,86.26415094339622,252,81,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,4,signed,aligned,09:35:00,11:30:00,0,4,8,0.0,3813,1375,90.87332808811959,371,127,86.26415094339622,252,85,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,5,signed,aligned,09:35:00,11:30:00,0,4,8,0.001,3813,1370,90.54287962234461,371,127,86.26415094339622,252,85,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,6,signed,aligned,09:35:00,11:30:00,0,4,8,0.003,3813,1362,90.01416207710464,371,127,86.26415094339622,252,85,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,7,signed,aligned,09:35:00,11:30:00,0,4,12,0.0,3813,1403,92.72383949645948,371,131,88.98113207547169,252,87,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,8,signed,aligned,09:35:00,11:30:00,0,4,12,0.001,3813,1398,92.3933910306845,371,131,88.98113207547169,252,87,True,True,True,True
nq_prior_session_flip_retest_orderflow,morning_signed_aligned_two_sided_flip,9,signed,aligned,09:35:00,11:30:00,0,4,12,0.003,3813,1390,91.86467348544453,371,131,88.98113207547169,252,87,True,True,True,True
