campaign_id,variant_id,setup_mode,feature_column,threshold_param,threshold,candidates,candidates_per_year,span_years
nq_cboe_implied_correlation_intraday,falling_cor3m_long_1200,falling_cor3m_long,cor3m_change_1d_rank_252,entry.params.correlation_change_rank_max,0.45,1665,107.82646276595744,15.441478439425051
nq_cboe_implied_correlation_intraday,falling_cor3m_long_1200,falling_cor3m_long,cor3m_change_1d_rank_252,entry.params.correlation_change_rank_max,0.4,1466,94.93909574468086,15.441478439425051
nq_cboe_implied_correlation_intraday,falling_cor3m_long_1200,falling_cor3m_long,cor3m_change_1d_rank_252,entry.params.correlation_change_rank_max,0.35,1291,83.60598404255319,15.441478439425051
nq_cboe_implied_correlation_intraday,high_cor3m_short_1000,high_cor3m_short,cor3m_close_rank_252,entry.params.correlation_rank_min,0.55,1378,89.24015957446808,15.441478439425051
nq_cboe_implied_correlation_intraday,high_cor3m_short_1000,high_cor3m_short,cor3m_close_rank_252,entry.params.correlation_rank_min,0.6,1206,78.10132978723405,15.441478439425051
nq_cboe_implied_correlation_intraday,high_cor3m_short_1000,high_cor3m_short,cor3m_close_rank_252,entry.params.correlation_rank_min,0.65,1072,69.42340425531916,15.441478439425051
nq_cboe_implied_correlation_intraday,high_short_term_correlation_short_1330,high_short_term_correlation_short,cor1m_minus_cor3m_rank_252,entry.params.term_spread_rank_min,0.55,1698,109.96356382978723,15.441478439425051
nq_cboe_implied_correlation_intraday,high_short_term_correlation_short_1330,high_short_term_correlation_short,cor1m_minus_cor3m_rank_252,entry.params.term_spread_rank_min,0.6,1499,97.07619680851064,15.441478439425051
nq_cboe_implied_correlation_intraday,high_short_term_correlation_short_1330,high_short_term_correlation_short,cor1m_minus_cor3m_rank_252,entry.params.term_spread_rank_min,0.65,1322,85.61356382978724,15.441478439425051
nq_cboe_implied_correlation_intraday,low_cor3m_long_1030,low_cor3m_long,cor3m_close_rank_252,entry.params.correlation_rank_max,0.45,2055,133.08311170212767,15.441478439425051
nq_cboe_implied_correlation_intraday,low_cor3m_long_1030,low_cor3m_long,cor3m_close_rank_252,entry.params.correlation_rank_max,0.4,1910,123.69281914893617,15.441478439425051
nq_cboe_implied_correlation_intraday,low_cor3m_long_1030,low_cor3m_long,cor3m_close_rank_252,entry.params.correlation_rank_max,0.35,1745,113.00731382978724,15.441478439425051
nq_cboe_implied_correlation_intraday,rising_cor3m_short_1130,rising_cor3m_short,cor3m_change_1d_rank_252,entry.params.correlation_change_rank_min,0.55,1708,110.61117021276596,15.441478439425051
nq_cboe_implied_correlation_intraday,rising_cor3m_short_1130,rising_cor3m_short,cor3m_change_1d_rank_252,entry.params.correlation_change_rank_min,0.6,1518,98.30664893617022,15.441478439425051
nq_cboe_implied_correlation_intraday,rising_cor3m_short_1130,rising_cor3m_short,cor3m_change_1d_rank_252,entry.params.correlation_change_rank_min,0.65,1329,86.06688829787234,15.441478439425051
