variant_id,rank_column,rank_side,rank_threshold,effective_cutoff,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.5,0.5,full,2011-01-03,2026-06-12,3813,1431,94.57435090479937,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.5,0.5,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.5,0.5,latest_252,2025-06-09,2026-06-12,252,252,252.0,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.55,0.55,full,2011-01-03,2026-06-12,3813,1226,81.02596380802518,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.55,0.55,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.55,0.55,latest_252,2025-06-09,2026-06-12,252,230,230.0,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.6,0.6,full,2011-01-03,2026-06-12,3813,957,63.24783634933123,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.6,0.6,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_unemployment_slack_short_1000,unemployment_rate_rank_120m,high,0.6,0.6,latest_252,2025-06-09,2026-06-12,252,225,225.0,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.5,0.5,full,2011-01-03,2026-06-12,3813,1224,80.89378442171518,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.5,0.5,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.5,0.5,latest_252,2025-06-09,2026-06-12,252,206,206.0,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.55,0.55,full,2011-01-03,2026-06-12,3813,1001,66.15578284815106,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.55,0.55,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.55,0.55,latest_252,2025-06-09,2026-06-12,252,167,167.0,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.6,0.6,full,2011-01-03,2026-06-12,3813,814,53.7970102281668,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.6,0.6,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_underemployment_slack_short_1030,underemployment_rate_rank_120m,high,0.6,0.6,latest_252,2025-06-09,2026-06-12,252,144,144.0,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.5,0.5,full,2011-01-03,2026-06-12,3813,1721,113.74036191974822,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.5,0.5,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.5,0.5,latest_252,2025-06-09,2026-06-12,252,252,252.0,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1513,99.99370574350904,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,247,247.0,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.6,0.4,full,2011-01-03,2026-06-12,3813,1410,93.18646734854445,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
low_employment_ratio_slack_short_1130,employment_population_ratio_rank_120m,low,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,247,247.0,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.5,0.5,full,2011-01-03,2026-06-12,3813,3486,230.38867033831627,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.5,0.5,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.5,0.5,latest_252,2025-06-09,2026-06-12,252,252,252.0,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,3397,224.50668764752163,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,252,252.0,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.6,0.4,full,2011-01-03,2026-06-12,3813,3294,217.69944925255703,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
low_participation_slack_short_1200,participation_rate_rank_120m,low,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,247,247.0,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.5,0.5,full,2011-01-03,2026-06-12,3813,2072,136.93784421715185,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.5,0.5,limited_core,2011-02-22,2012-09-07,371,180,122.26415094339622,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.5,0.5,latest_252,2025-06-09,2026-06-12,252,81,81.0,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.55,0.55,full,2011-01-03,2026-06-12,3813,1966,129.93233674272227,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.55,0.55,limited_core,2011-02-22,2012-09-07,371,180,122.26415094339622,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.55,0.55,latest_252,2025-06-09,2026-06-12,252,81,81.0,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.6,0.6,full,2011-01-03,2026-06-12,3813,1847,122.06766325727773,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.6,0.6,limited_core,2011-02-22,2012-09-07,371,180,122.26415094339622,True
rising_participation_repair_long_1330,participation_rate_change_3m_rank_120m,high,0.6,0.6,latest_252,2025-06-09,2026-06-12,252,60,60.0,True
