variant_id,density_basis,threshold,signals,signals_per_year,passes_event_density_gate
decision_day_open_long_1000,all scheduled decision days at 10:00,all,121,7.837427,True
decision_day_late_morning_long_1130,all scheduled decision days at 11:30,all,121,7.837427,True
decision_day_momentum_confirmed_long_1130,11:30 decision-day momentum,min_session_return_bps=-50,109,7.059161,True
decision_day_momentum_confirmed_long_1130,11:30 decision-day momentum,min_session_return_bps=-40,104,6.7353,True
decision_day_momentum_confirmed_long_1130,11:30 decision-day momentum,min_session_return_bps=-30,95,6.153349,True
decision_day_low_range_long_1130,11:30 decision-day range cap,max_session_range_bps=80,85,5.505151,True
decision_day_low_range_long_1130,11:30 decision-day range cap,max_session_range_bps=100,100,6.477212,True
decision_day_low_range_long_1130,11:30 decision-day range cap,max_session_range_bps=120,108,6.995389,True
prior_day_late_long_1500,calendar day before scheduled FOMC decision at 15:00,all,119,7.707883,True
