campaign_id,variant_id,window,sessions,years,share_rank_min,min_opening_drive_ticks,signals,signal_sessions,signals_per_year,long_signals,short_signals,passes_50_signals_per_year
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.45,4,893,893,127.861364,415,478,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.45,6,887,887,127.002273,412,475,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.55,2,823,823,117.838636,383,440,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.55,4,818,818,117.122727,380,438,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.55,6,813,813,116.406818,378,435,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.65,2,705,705,100.943182,337,368,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.65,4,701,701,100.370455,334,367,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,full_history,1760,6.984127,0.65,6,697,697,99.797727,332,365,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.45,2,101,101,142.988764,49,52,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.45,4,101,101,142.988764,49,52,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.45,6,101,101,142.988764,49,52,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.55,2,92,92,130.247191,47,45,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.55,4,92,92,130.247191,47,45,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.55,6,92,92,130.247191,47,45,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.65,2,75,75,106.179775,41,34,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.65,4,75,75,106.179775,41,34,True
nq_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,limited_core,178,0.706349,0.65,6,75,75,106.179775,41,34,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.45,2,892,892,127.718182,416,476,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.45,4,887,887,127.002273,413,474,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.45,6,881,881,126.143182,410,471,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.55,2,796,796,113.972727,372,424,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.55,4,792,792,113.4,370,422,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.55,6,786,786,112.540909,367,419,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.65,2,666,666,95.359091,321,345,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.65,4,663,663,94.929545,319,344,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,full_history,1760,6.984127,0.65,6,658,658,94.213636,316,342,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.45,2,100,100,141.573034,50,50,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.45,4,100,100,141.573034,50,50,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.45,6,100,100,141.573034,50,50,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.55,2,93,93,131.662921,46,47,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.55,4,93,93,131.662921,46,47,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.55,6,93,93,131.662921,46,47,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.65,2,80,80,113.258427,41,39,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.65,4,80,80,113.258427,41,39,True
nq_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,limited_core,178,0.706349,0.65,6,80,80,113.258427,41,39,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.45,2,926,926,132.586364,448,478,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.45,4,924,924,132.3,448,476,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.45,6,922,922,132.013636,448,474,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.55,2,826,826,118.268182,405,421,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.55,4,824,824,117.981818,405,419,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.55,6,822,822,117.695455,405,417,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.65,2,695,695,99.511364,338,357,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.65,4,693,693,99.225,338,355,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,full_history,1760,6.984127,0.65,6,691,691,98.938636,338,353,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.45,2,86,86,121.752809,43,43,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.45,4,86,86,121.752809,43,43,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.45,6,86,86,121.752809,43,43,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.55,2,76,76,107.595506,41,35,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.55,4,76,76,107.595506,41,35,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.55,6,76,76,107.595506,41,35,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.65,2,65,65,92.022472,37,28,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.65,4,65,65,92.022472,37,28,True
nq_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,limited_core,178,0.706349,0.65,6,65,65,92.022472,37,28,True
