variant_id,full_min_tpy,latest1y_min_tpy,limited_core_min_tpy,wfa90_min_tpy,pass
afternoon_notional_high_downside1_1400,25.23,19.07,41.06,25.23,False
early_afternoon_notional_high_downside1_1300,25.09,15.05,35.39,25.54,False
midday_notional_high_downside1_1200,27.21,16.05,43.89,27.89,False
midday_notional_high_semivar_balance_1200,19.17,17.06,25.48,19.9,False
morning_notional_high_downside1_1030,28.62,21.07,52.38,28.67,False
morning_trade_high_downside1_1030,28.62,22.08,53.8,28.36,False
morning_trade_high_downside_share_1030,22.41,16.05,28.31,22.56,False
