campaign_id,variant_id,config_path,trade_count_rank_threshold,avg_trade_size_rank_threshold,full_signals,full_sessions,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_sessions,limited_signals_per_year,latest_252_start_date,latest_252_end_date,latest_252_session_signals,latest_252_session_signals_per_year,density_pass,failure_reason
nq_trade_fragmentation_liquidity_reversion,midday_30m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/midday_30m_fragmented_up_fade_short/config.yaml,0.65,0.6,1077,3813,71.1786,2011-02-22,2012-09-07,77,371,52.301887,2025-06-09,2026-06-12,76,76.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.55,0.5,1357,3813,89.683714,2011-02-22,2012-09-07,108,371,73.358491,2025-06-09,2026-06-12,89,89.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.55,0.55,1454,3813,96.094414,2011-02-22,2012-09-07,115,371,78.113208,2025-06-09,2026-06-12,99,99.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.55,0.6,1569,3813,103.694729,2011-02-22,2012-09-07,127,371,86.264151,2025-06-09,2026-06-12,107,107.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.6,0.5,1218,3813,80.497246,2011-02-22,2012-09-07,98,371,66.566038,2025-06-09,2026-06-12,85,85.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.6,0.55,1310,3813,86.577498,2011-02-22,2012-09-07,105,371,71.320755,2025-06-09,2026-06-12,94,94.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.6,0.6,1417,3813,93.649095,2011-02-22,2012-09-07,117,371,79.471698,2025-06-09,2026-06-12,102,102.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.65,0.5,1078,3813,71.244689,2011-02-22,2012-09-07,79,371,53.660377,2025-06-09,2026-06-12,78,78.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.65,0.55,1163,3813,76.862313,2011-02-22,2012-09-07,86,371,58.415094,2025-06-09,2026-06-12,87,87.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_down_fade_long,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_down_fade_long/config.yaml,0.65,0.6,1260,3813,83.273013,2011-02-22,2012-09-07,95,371,64.528302,2025-06-09,2026-06-12,95,95.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.55,0.5,1169,3813,77.258851,2011-02-22,2012-09-07,104,371,70.641509,2025-06-09,2026-06-12,89,89.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.55,0.55,1280,3813,84.594807,2011-02-22,2012-09-07,117,371,79.471698,2025-06-09,2026-06-12,93,93.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.55,0.6,1360,3813,89.881983,2011-02-22,2012-09-07,128,371,86.943396,2025-06-09,2026-06-12,99,99.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.6,0.5,1033,3813,68.270653,2011-02-22,2012-09-07,89,371,60.45283,2025-06-09,2026-06-12,78,78.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.6,0.55,1137,3813,75.143981,2011-02-22,2012-09-07,102,371,69.283019,2025-06-09,2026-06-12,81,81.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.6,0.6,1211,3813,80.034618,2011-02-22,2012-09-07,113,371,76.754717,2025-06-09,2026-06-12,87,87.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.65,0.5,891,3813,58.885917,2011-02-22,2012-09-07,77,371,52.301887,2025-06-09,2026-06-12,60,60.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.65,0.55,986,3813,65.164437,2011-02-22,2012-09-07,90,371,61.132075,2025-06-09,2026-06-12,63,63.0,True,
nq_trade_fragmentation_liquidity_reversion,morning_15m_fragmented_up_fade_short,campaigns/nq_trade_fragmentation_liquidity_reversion/variants/morning_15m_fragmented_up_fade_short/config.yaml,0.65,0.6,1055,3813,69.724626,2011-02-22,2012-09-07,101,371,68.603774,2025-06-09,2026-06-12,69,69.0,True,
