campaign_id,rescue_id,variant_id,entry_time,share_mode,lookback_minutes,trend_lookback_minutes,min_trend_return_ticks,share_rank_min,min_abs_return_ticks,signals,signals_per_year
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4.0,0.5,3,479,67.52402547279043
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4.0,0.5,4,459,64.70465071401003
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4.0,0.6,2,428,60.33461983790042
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4.0,0.6,3,421,59.347838672327285
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,4.0,0.6,4,404,56.95137012736395
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.4,2,545,76.82796217676572
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.4,3,531,74.85439984561945
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.4,4,510,71.89405634890004
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.5,2,487,68.65177537630258
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.5,3,476,67.10111925897337
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.5,4,459,64.70465071401003
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.6,2,431,60.75752605171748
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.6,3,423,59.62977614820532
es_trend_filtered_mes_participation_crowding,parameter_space_rescue_1,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,4.0,0.6,4,407,57.37427634118101
