campaign_id,variant_id,entry_time,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,volatility_gate_column,volatility_gate_max,signals,signals_per_year,start_date,end_date
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.35,12,12,vol20_rank_252,0.95,489,68.854,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.35,16,12,vol20_rank_252,0.95,476,67.0235,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.35,20,12,vol20_rank_252,0.95,461,64.9114,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.45,12,12,vol20_rank_252,0.95,440,61.9545,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.45,16,12,vol20_rank_252,0.95,430,60.5465,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.45,20,12,vol20_rank_252,0.95,419,58.9976,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.55,12,12,vol20_rank_252,0.95,381,53.647,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.55,16,12,vol20_rank_252,0.95,374,52.6613,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_vol20_trade_morning_1030,10:30:00,0.55,20,12,vol20_rank_252,0.95,364,51.2533,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.35,12,12,range10_rank_252,0.95,512,72.0925,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.35,16,12,range10_rank_252,0.95,499,70.262,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.35,20,12,range10_rank_252,0.95,482,67.8684,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.45,12,12,range10_rank_252,0.95,463,65.193,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.45,16,12,range10_rank_252,0.95,453,63.785,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.45,20,12,range10_rank_252,0.95,440,61.9545,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.55,12,12,range10_rank_252,0.95,404,56.8855,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.55,16,12,range10_rank_252,0.95,397,55.8999,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_range10_trade_morning_1030,10:30:00,0.55,20,12,range10_rank_252,0.95,385,54.2102,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.35,12,12,absret5_rank_252,0.95,497,69.9804,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.35,16,12,absret5_rank_252,0.95,485,68.2908,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.35,20,12,absret5_rank_252,0.95,468,65.8971,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.45,12,12,absret5_rank_252,0.95,448,63.081,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.45,16,12,absret5_rank_252,0.95,439,61.8137,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.45,20,12,absret5_rank_252,0.95,426,59.9832,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.55,12,12,absret5_rank_252,0.95,390,54.9142,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.55,16,12,absret5_rank_252,0.95,383,53.9286,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_absret5_trade_morning_1030,10:30:00,0.55,20,12,absret5_rank_252,0.95,371,52.2389,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.35,12,12,downside20_rank_252,0.95,488,68.7132,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.35,16,12,downside20_rank_252,0.95,475,66.8827,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.35,20,12,downside20_rank_252,0.95,458,64.489,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.45,12,12,downside20_rank_252,0.95,439,61.8137,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.45,16,12,downside20_rank_252,0.95,429,60.4056,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.45,20,12,downside20_rank_252,0.95,416,58.5752,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.55,12,12,downside20_rank_252,0.95,381,53.647,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.55,16,12,downside20_rank_252,0.95,374,52.6613,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,exclude_extreme_downside20_trade_morning_1030,10:30:00,0.55,20,12,downside20_rank_252,0.95,362,50.9717,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,vol_downshift_trade_morning_1030,10:30:00,0.35,12,12,vol5_over_vol20,1.25,476,67.0235,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,vol_downshift_trade_morning_1030,10:30:00,0.35,16,12,vol5_over_vol20,1.25,466,65.6155,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,vol_downshift_trade_morning_1030,10:30:00,0.35,20,12,vol5_over_vol20,1.25,451,63.5034,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,vol_downshift_trade_morning_1030,10:30:00,0.45,12,12,vol5_over_vol20,1.25,430,60.5465,2019-05-06,2026-06-12
nq_mes_crowding_vol_filtered_trend_pullback_reversion,vol_downshift_trade_morning_1030,10:30:00,0.45,16,12,vol5_over_vol20,1.25,422,59.42,2019-05-06,2026-06-12
