variant_id,window,start_date,end_date,signals,signals_per_year,strict_min_spread_bps,strict_min_absorption_imbalance,setup_mode,lookback_minutes,start_time,end_time,density_pass_50_per_year
late_morning30_two_sided_absorption_1130,configured_full,2011-01-03,2026-06-09,337,21.83595,6,0.05,two_sided_divergence_fade,30,11:30:00,12:30:00,False
late_morning30_two_sided_absorption_1130,limited_core_grid_test,2011-02-22,2012-09-06,89,57.739343,6,0.05,two_sided_divergence_fade,30,11:30:00,12:30:00,True
midday60_two_sided_absorption_1400,configured_full,2011-01-03,2026-06-09,617,39.978579,6,0.03,two_sided_divergence_fade,60,13:00:00,14:30:00,False
midday60_two_sided_absorption_1400,limited_core_grid_test,2011-02-22,2012-09-06,122,79.148313,6,0.03,two_sided_divergence_fade,60,13:00:00,14:30:00,True
morning15_two_sided_absorption_1000,configured_full,2011-01-03,2026-06-09,535,34.665381,6,0.05,two_sided_divergence_fade,15,10:00:00,11:00:00,False
morning15_two_sided_absorption_1000,limited_core_grid_test,2011-02-22,2012-09-06,109,70.714476,6,0.05,two_sided_divergence_fade,15,10:00:00,11:00:00,True
morning30_outperform_absorption_short_1030,configured_full,2011-01-03,2026-06-09,591,38.293906,3,0.03,es_outperform_short,30,10:30:00,11:30:00,False
morning30_outperform_absorption_short_1030,limited_core_grid_test,2011-02-22,2012-09-06,98,63.578153,3,0.03,es_outperform_short,30,10:30:00,11:30:00,True
morning30_underperform_absorption_long_1030,configured_full,2011-01-03,2026-06-09,647,41.922432,4,0.02,es_underperform_long,30,10:30:00,11:30:00,False
morning30_underperform_absorption_long_1030,limited_core_grid_test,2011-02-22,2012-09-06,83,53.846803,4,0.02,es_underperform_long,30,10:30:00,11:30:00,True
