variant_id,entry_rows,rows_passing_density,min_signals_per_year,full_min_signals,latest_252_min_signals,limited_core_min_signals,density_gate_pass
high_20d_max_fade_short_1130,9,9,85.58490566037736,1377,105,126,True
high_5d_max_fade_short_1000,9,9,67.0,1337,67,128,True
high_63d_max_fade_short_1200,9,9,55.698113207547166,1166,87,82,True
high_avg_top5_20d_fade_short_1430,9,9,70.64150943396226,1297,80,104,True
low_5d_max_carry_long_1030,9,9,80.83018867924528,1297,102,119,True
