campaign_id,variant_id,window,start_date,end_date,entry_combinations,max_overnight_range_rank,min_orderflow_imbalance,signals,years_proxy,signals_per_year,density_gate_pass
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.5,0.1,126,1.538672142368241,81.88879003558718,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.6,0.0,143,1.538672142368241,92.93727758007117,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.6,0.04,143,1.538672142368241,92.93727758007117,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.6,0.1,140,1.538672142368241,90.98754448398576,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.7,0.0,173,1.538672142368241,112.43460854092525,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.7,0.04,173,1.538672142368241,112.43460854092525,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.7,0.1,170,1.538672142368241,110.48487544483986,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.5,0.0,1251,15.403148528405202,81.21716139353003,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.5,0.01,1247,15.403148528405202,80.95747422680412,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.5,0.03,1233,15.403148528405202,80.04856914326342,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.6,0.0,1528,15.403148528405202,99.20049768929968,True
