variant_id,entry_rows,pass_rows,min_full_signals_per_year,median_full_signals_per_year,max_full_signals_per_year,min_limited_core_signals_per_year,median_limited_core_signals_per_year,max_limited_core_signals_per_year,min_latest252_signals,max_latest252_signals,variant_density_pass
afternoon_signed_24bar_sweep_reclaim_1500,9,9,111.21373470473488,167.50070934562865,222.75133002305373,132.34635879218473,180.35435168738897,217.33348134991118,90,235,True
all_day_large20_36bar_sweep_reclaim_1500,9,6,53.8904061003724,125.07496896612874,201.11744103564462,51.25177619893428,131.04884547069273,202.4120781527531,49,208,False
midday_signed_24bar_sweep_reclaim_1400,9,9,76.8197375421174,169.83250576343323,233.95690725305906,95.36722912966252,183.598134991119,228.36234458259324,67,241,True
morning_large10_12bar_sweep_reclaim_1130,9,9,76.36633268309984,156.42467636105692,223.7876839865224,63.57815275310835,151.80905861456483,215.38721136767316,91,233,True
morning_signed_12bar_sweep_reclaim_1130,9,8,44.23935981557013,131.81126972867528,219.57749600993083,57.09058614564831,151.16030195381882,224.46980461811722,42,231,False
