variant_id,gate_col,gate_max,share_rank_min,min_abs_return_ticks,period,signals,signals_per_year
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.45,4,latest1y,74,74.25412087912088
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,2,full,423,59.62977614820532
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,2,limited_core,55,77.26442307692308
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,2,wfa90,371,57.36991955969517
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,2,latest1y,69,69.23695054945054
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,3,full,414,58.36105750675414
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,3,limited_core,52,73.05
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,3,wfa90,363,56.13283234546994
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,3,latest1y,68,68.23351648351648
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,4,full,398,56.10555769972983
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,4,limited_core,51,71.64519230769231
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,4,wfa90,348,53.813293818797625
exclude_extreme_range10_trade_morning_1030,range10_rank_252,0.95,0.55,4,latest1y,66,66.22664835164835
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,2,full,512,72.17599382477808
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,2,limited_core,63,88.50288461538462
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,2,wfa90,453,70.05006350550381
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,2,latest1y,85,85.2918956043956
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,3,full,499,70.34340023157081
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,3,limited_core,60,84.28846153846155
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,3,wfa90,442,68.34906858594411
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,3,latest1y,83,83.28502747252747
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,4,full,478,67.38305673485141
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,4,limited_core,59,82.88365384615385
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.35,4,wfa90,422,65.25635055038103
