variant_id,entry_rows,rows_passing_density,min_signals_per_year,full_min_signals,limited_core_min_signals,latest_252_min_signals,density_gate_pass
high_bank_credit_growth_long_1000,9,9,93.0566037735849,1529,137,153,True
high_ci_loans_growth_long_1130,9,9,80.95987411487017,1225,201,143,True
high_deposits_growth_long_1200,9,9,77.78756884343036,1177,130,119,True
high_loans_leases_growth_long_1030,9,9,72.0,1593,106,175,True
high_total_assets_growth_long_1330,9,9,84.90566037735849,1345,125,142,True
