campaign_id,variant_id,direction,entry_time,operator,threshold,full_start,full_end,full_sessions,full_signal_sessions,full_signals_per_year,limited_start,limited_end,limited_sessions,limited_signal_sessions,limited_signals_per_year,latest_start,latest_end,latest_sessions,latest_signal_sessions,decision
nq_cftc_tff_hedging_pressure,broad_negative_pressure_short_1100,short,11:00:00,<=,-25000.0,2013-04-15,2026-06-12,3270,1040,79.02,2013-06-04,2014-09-26,322,92,70.01,2025-06-09,2026-06-12,252,126,PASS
nq_cftc_tff_hedging_pressure,broad_negative_pressure_short_1100,short,11:00:00,<=,-50000.0,2013-04-15,2026-06-12,3270,646,49.08,2013-06-04,2014-09-26,322,39,29.68,2025-06-09,2026-06-12,252,116,FAIL
nq_cftc_tff_hedging_pressure,broad_negative_pressure_short_1100,short,11:00:00,<=,-100000.0,2013-04-15,2026-06-12,3270,350,26.59,2013-06-04,2014-09-26,322,0,0.0,2025-06-09,2026-06-12,252,107,FAIL
nq_cftc_tff_hedging_pressure,broad_positive_pressure_long_1100,long,11:00:00,>=,25000.0,2013-04-15,2026-06-12,3270,874,66.41,2013-06-04,2014-09-26,322,52,39.57,2025-06-09,2026-06-12,252,96,FAIL
nq_cftc_tff_hedging_pressure,broad_positive_pressure_long_1100,long,11:00:00,>=,47442.0,2013-04-15,2026-06-12,3270,653,49.62,2013-06-04,2014-09-26,322,19,14.46,2025-06-09,2026-06-12,252,76,FAIL
nq_cftc_tff_hedging_pressure,broad_positive_pressure_long_1100,long,11:00:00,>=,75000.0,2013-04-15,2026-06-12,3270,400,30.39,2013-06-04,2014-09-26,322,5,3.8,2025-06-09,2026-06-12,252,66,FAIL
nq_cftc_tff_hedging_pressure,extreme_negative_pressure_short_1330,short,13:30:00,<=,-75000.0,2013-04-15,2026-06-12,3270,454,34.5,2013-06-04,2014-09-26,322,5,3.8,2025-06-09,2026-06-12,252,116,FAIL
nq_cftc_tff_hedging_pressure,extreme_negative_pressure_short_1330,short,13:30:00,<=,-150000.0,2013-04-15,2026-06-12,3270,236,17.93,2013-06-04,2014-09-26,322,0,0.0,2025-06-09,2026-06-12,252,99,FAIL
nq_cftc_tff_hedging_pressure,extreme_negative_pressure_short_1330,short,13:30:00,<=,-250000.0,2013-04-15,2026-06-12,3270,147,11.17,2013-06-04,2014-09-26,322,0,0.0,2025-06-09,2026-06-12,252,43,FAIL
nq_cftc_tff_hedging_pressure,extreme_positive_pressure_long_1330,long,13:30:00,>=,125000.0,2013-04-15,2026-06-12,3270,263,19.98,2013-06-04,2014-09-26,322,0,0.0,2025-06-09,2026-06-12,252,51,FAIL
nq_cftc_tff_hedging_pressure,extreme_positive_pressure_long_1330,long,13:30:00,>=,175000.0,2013-04-15,2026-06-12,3270,248,18.84,2013-06-04,2014-09-26,322,0,0.0,2025-06-09,2026-06-12,252,46,FAIL
nq_cftc_tff_hedging_pressure,extreme_positive_pressure_long_1330,long,13:30:00,>=,250000.0,2013-04-15,2026-06-12,3270,218,16.56,2013-06-04,2014-09-26,322,0,0.0,2025-06-09,2026-06-12,252,39,FAIL
nq_cftc_tff_hedging_pressure,high_positive_pressure_long_0935,long,09:35:00,>=,75000.0,2013-04-15,2026-06-12,3270,400,30.39,2013-06-04,2014-09-26,322,5,3.8,2025-06-09,2026-06-12,252,66,FAIL
nq_cftc_tff_hedging_pressure,high_positive_pressure_long_0935,long,09:35:00,>=,98748.0,2013-04-15,2026-06-12,3270,326,24.77,2013-06-04,2014-09-26,322,5,3.8,2025-06-09,2026-06-12,252,61,FAIL
nq_cftc_tff_hedging_pressure,high_positive_pressure_long_0935,long,09:35:00,>=,150000.0,2013-04-15,2026-06-12,3270,253,19.22,2013-06-04,2014-09-26,322,0,0.0,2025-06-09,2026-06-12,252,51,FAIL
