campaign_id,variant_id,lookback_minutes,rank_column,min_spread_bps,benign_semivar_rank_max,total_signals,long_signals,short_signals,missing_feature_signals,full_signals,full_years,full_signals_per_year,limited_core_signals,limited_core_years,limited_core_signals_per_year,wfa90_signals,wfa90_years,wfa90_signals_per_year,latest1y_signals,latest1y_years,latest1y_signals_per_year,density_pass_all_windows
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,15,downside1_rank_252,2,0.45,1623,772,851,0,1623,15.433264887063656,105.16245343267695,138,1.541409993155373,89.52841918294848,1479,13.88911704312115,106.48625073920756,110,0.999315537303217,110.07534246575342,True
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,15,downside1_rank_252,2,0.5,1779,844,935,0,1779,15.433264887063656,115.27048962213944,156,1.541409993155373,101.20603907637656,1621,13.88911704312115,116.71008279124779,121,0.999315537303217,121.08287671232877,True
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,15,downside1_rank_252,3,0.45,1544,725,819,0,1544,15.433264887063656,100.0436402341671,134,1.541409993155373,86.93339253996447,1410,13.88911704312115,101.51833234772324,101,0.999315537303217,101.06917808219178,True
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,15,downside1_rank_252,3,0.5,1695,792,903,0,1695,15.433264887063656,109.82770090473656,152,1.541409993155373,98.61101243339253,1547,13.88911704312115,111.38217031342401,112,0.999315537303217,112.07671232876712,True
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,15,downside1_rank_252,4,0.45,1448,680,768,0,1448,15.433264887063656,93.82331027142097,129,1.541409993155373,83.68960923623446,1321,13.88911704312115,95.11043761088114,98,0.999315537303217,98.06712328767124,True
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,15,downside1_rank_252,4,0.5,1586,741,845,0,1586,15.433264887063656,102.76503459286855,145,1.541409993155373,94.06971580817051,1445,13.88911704312115,104.03829095209935,109,0.999315537303217,109.07465753424657,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,30,downside1_rank_252,2,0.45,1359,616,743,0,1359,15.433264887063656,88.05654603512507,111,1.541409993155373,72.01198934280639,1238,13.88911704312115,89.13453577764636,92,0.999315537303217,92.06301369863013,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,30,downside1_rank_252,2,0.5,1491,673,818,0,1491,15.433264887063656,96.609499733901,126,1.541409993155373,81.74333925399644,1357,13.88911704312115,97.70239503252513,102,0.999315537303217,102.06986301369862,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,30,downside1_rank_252,3,0.45,1274,583,691,0,1274,15.433264887063656,82.54896221394358,101,1.541409993155373,65.52442273534636,1164,13.88911704312115,83.80662329982259,81,0.999315537303217,81.0554794520548,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,30,downside1_rank_252,3,0.5,1403,634,769,0,1403,15.433264887063656,90.90753060138371,116,1.541409993155373,75.25577264653641,1280,13.88911704312115,92.1584861028977,91,0.999315537303217,91.06232876712329,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,30,downside1_rank_252,4,0.45,1210,551,659,0,1210,15.433264887063656,78.40207557211282,98,1.541409993155373,63.57815275310835,1109,13.88911704312115,79.8466883500887,76,0.999315537303217,76.05205479452054,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,30,downside1_rank_252,4,0.5,1333,598,735,0,1333,15.433264887063656,86.37187333688132,113,1.541409993155373,73.30950266429839,1220,13.88911704312115,87.83855706682436,85,0.999315537303217,85.0582191780822,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,30,downside1_rank_252,2,0.45,1367,632,735,0,1367,15.433264887063656,88.57490686535391,121,1.541409993155373,78.49955595026643,1255,13.88911704312115,90.35851567120048,84,0.999315537303217,84.05753424657534,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,30,downside1_rank_252,2,0.5,1492,695,797,0,1492,15.433264887063656,96.67429483767961,135,1.541409993155373,87.58214920071048,1369,13.88911704312115,98.5663808397398,92,0.999315537303217,92.06301369863013,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,30,downside1_rank_252,3,0.45,1255,580,675,0,1255,15.433264887063656,81.31785524215007,113,1.541409993155373,73.30950266429839,1161,13.88911704312115,83.59062684801893,68,0.999315537303217,68.04657534246576,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,30,downside1_rank_252,3,0.5,1366,638,728,0,1366,15.433264887063656,88.5101117615753,124,1.541409993155373,80.44582593250443,1261,13.88911704312115,90.7905085748078,76,0.999315537303217,76.05205479452054,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,30,downside1_rank_252,4,0.45,1115,522,593,0,1115,15.433264887063656,72.2465407131453,106,1.541409993155373,68.76820603907638,1036,13.88911704312115,74.59077468953282,55,0.999315537303217,55.03767123287671,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,30,downside1_rank_252,4,0.5,1212,574,638,0,1212,15.433264887063656,78.53166577967004,117,1.541409993155373,75.90452930728242,1122,13.88911704312115,80.78267297457126,63,0.999315537303217,63.043150684931504,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,60,downside1_rank_252,2,0.45,1322,634,688,0,1322,15.433264887063656,85.65912719531666,116,1.541409993155373,75.25577264653641,1210,13.88911704312115,87.11856889414548,89,0.999315537303217,89.06095890410958,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,60,downside1_rank_252,2,0.5,1443,695,748,0,1443,15.433264887063656,93.49933475252793,132,1.541409993155373,85.63587921847247,1320,13.88911704312115,95.03843879361325,98,0.999315537303217,98.06712328767124,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,60,downside1_rank_252,4,0.45,1113,534,579,0,1113,15.433264887063656,72.11695050558808,101,1.541409993155373,65.52442273534636,1023,13.88911704312115,73.65479006505026,72,0.999315537303217,72.04931506849314,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,60,downside1_rank_252,4,0.5,1215,584,631,0,1215,15.433264887063656,78.72605109100586,116,1.541409993155373,75.25577264653641,1116,13.88911704312115,80.35068007096393,79,0.999315537303217,79.05410958904109,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,60,downside1_rank_252,6,0.45,881,423,458,0,881,15.433264887063656,57.084486428951564,91,1.541409993155373,59.036856127886324,813,13.88911704312115,58.53503843879361,56,0.999315537303217,56.03835616438356,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,60,downside1_rank_252,6,0.5,961,463,498,0,961,15.433264887063656,62.26809473124002,103,1.541409993155373,66.82193605683837,887,13.88911704312115,63.862950916617386,60,0.999315537303217,60.04109589041096,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,60,downside_share1_rank_252,2,0.45,1200,523,677,0,1200,15.433264887063656,77.75412453432676,113,1.541409993155373,73.30950266429839,1079,13.88911704312115,77.68672383205204,79,0.999315537303217,79.05410958904109,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,60,downside_share1_rank_252,2,0.5,1340,595,745,0,1340,15.433264887063656,86.82543906333156,123,1.541409993155373,79.79706927175843,1205,13.88911704312115,86.75857480780603,90,0.999315537303217,90.06164383561644,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,60,downside_share1_rank_252,4,0.45,1041,454,587,0,1041,15.433264887063656,67.45170303352847,98,1.541409993155373,63.57815275310835,940,13.88911704312115,67.67888823181549,67,0.999315537303217,67.0458904109589,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,60,downside_share1_rank_252,4,0.5,1165,518,647,0,1165,15.433264887063656,75.48629590207557,106,1.541409993155373,68.76820603907638,1051,13.88911704312115,75.67075694855116,77,0.999315537303217,77.0527397260274,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,60,downside_share1_rank_252,6,0.45,846,374,472,0,846,15.433264887063656,54.81665779670037,87,1.541409993155373,56.44182948490231,770,13.88911704312115,55.439089296274396,49,0.999315537303217,49.03356164383562,False
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,60,downside_share1_rank_252,6,0.5,950,426,524,0,950,15.433264887063656,61.555348589675354,94,1.541409993155373,60.98312611012433,864,13.88911704312115,62.20697811945594,58,0.999315537303217,58.03972602739726,True
