campaign_id,variant_id,entry.params.vr_threshold,entry.params.min_orderflow_imbalance,full_start,full_end,full_signals,full_signals_per_year,limited_start,limited_end,limited_signals,limited_signals_per_year
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,0.95,0.02,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,3900,252.700905,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,312,202.412078
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,0.95,0.05,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,3239,209.871341,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,301,195.275755
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,0.95,0.08,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,2249,145.724188,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,276,179.056838
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.05,0.02,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,3092,200.346461,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,231,149.862789
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.05,0.05,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,2492,161.469399,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,217,140.780195
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.05,0.08,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,1677,108.661389,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,194,125.858792
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.15,0.02,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,2447,158.553619,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,161,104.449822
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.15,0.05,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,1923,124.600985,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,151,97.962256
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.15,0.08,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,1248,80.86429,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,133,86.284636
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,1.0,0.03,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,4659,301.880389,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,426,276.370337
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,1.0,0.06,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,4432,287.1719,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,416,269.882771
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,1.0,0.1,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,3996,258.921235,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,389,252.366341
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,1.1,0.03,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,3517,227.88438,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,332,215.387211
