campaign_id,variant_id,window,eligible_sessions,sessions_per_year,density_gate_pass,weekdays
nq_day_of_week_seasonality,monday_open_weekend_short_0935,full_history,709,45.92343500620677,True,0
nq_day_of_week_seasonality,monday_open_weekend_short_0935,limited_core_proxy,71,42.30464926590538,True,0
nq_day_of_week_seasonality,monday_open_weekend_short_0935,latest_252_sessions,49,48.63383152173913,True,0
nq_day_of_week_seasonality,monday_late_weekend_short_1100,full_history,709,45.92343500620677,True,0
nq_day_of_week_seasonality,monday_late_weekend_short_1100,limited_core_proxy,71,42.30464926590538,True,0
nq_day_of_week_seasonality,monday_late_weekend_short_1100,latest_252_sessions,49,48.63383152173913,True,0
nq_day_of_week_seasonality,friday_open_preweekend_long_0935,full_history,761,49.29158538748005,True,4
nq_day_of_week_seasonality,friday_open_preweekend_long_0935,limited_core_proxy,82,48.85889070146819,True,4
nq_day_of_week_seasonality,friday_open_preweekend_long_0935,latest_252_sessions,50,49.62635869565218,True,4
nq_day_of_week_seasonality,friday_late_preweekend_long_1300,full_history,761,49.29158538748005,True,4
nq_day_of_week_seasonality,friday_late_preweekend_long_1300,limited_core_proxy,82,48.85889070146819,True,4
nq_day_of_week_seasonality,friday_late_preweekend_long_1300,latest_252_sessions,50,49.62635869565218,True,4
nq_day_of_week_seasonality,mon_fri_polarity_pair_1000,full_history,1470,95.21502039368681,True,"0,4"
nq_day_of_week_seasonality,mon_fri_polarity_pair_1000,limited_core_proxy,153,91.16353996737358,True,"0,4"
nq_day_of_week_seasonality,mon_fri_polarity_pair_1000,latest_252_sessions,99,98.26019021739131,True,"0,4"
