campaign_id,variant_id,source_variant,flow_mode,orderflow_window_minutes,consume_unconfirmed_base_signal,min_orderflow_imbalance,share_rank_min,min_abs_return_ticks,signals,signals_per_year,long_signals,short_signals,first_signal,last_signal
nq_pivot_mes_orderflow_confirmation,morning_notional_large10_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large10_imbalance,30,False,0.0,0.45,3,639,89.94017341040463,352,287,2019-08-06 10:21:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large10_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large10_imbalance,30,False,0.0,0.55,1,564,79.38381502890174,303,261,2019-08-06 10:21:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large10_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large10_imbalance,30,False,0.0,0.55,2,562,79.10231213872832,303,259,2019-08-06 10:21:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large10_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large10_imbalance,30,False,0.0,0.55,3,561,78.96156069364162,303,258,2019-08-06 10:21:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large10_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large10_imbalance,30,False,0.0,0.65,1,477,67.13843930635838,253,224,2019-08-06 10:21:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large10_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large10_imbalance,30,False,0.0,0.65,2,475,66.85693641618496,253,222,2019-08-06 10:21:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large10_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large10_imbalance,30,False,0.0,0.65,3,474,66.71618497109826,252,222,2019-08-06 10:21:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.45,1,617,86.8436416184971,341,276,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.45,2,616,86.7028901734104,341,275,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.45,3,613,86.28063583815029,340,273,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.55,1,536,75.44277456647399,290,246,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.55,2,535,75.30202312138728,290,245,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.55,3,533,75.02052023121387,289,244,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.65,1,453,63.760404624277456,240,213,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.65,2,452,63.61965317919075,240,212,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,morning_notional_large20_first_confirmed_reversal_window_1130,morning_notional_two_sided_reversal_window_1130,large20_imbalance,30,False,0.0,0.65,3,450,63.338150289017335,239,211,2019-08-06 10:20:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.45,1,575,80.93208092485548,307,268,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.45,2,573,80.65057803468208,307,266,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.45,3,570,80.22832369942196,304,266,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.55,1,523,73.61300578034682,276,247,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.55,2,522,73.47225433526012,276,246,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.55,3,519,73.05,273,246,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.65,1,433,60.94537572254335,218,215,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.65,2,432,60.80462427745665,218,214,2019-08-05 13:30:00,2026-06-10 14:15:00
nq_pivot_mes_orderflow_confirmation,afternoon_trade_large10_first_confirmed_reversal_window_1500,afternoon_trade_two_sided_reversal_window_1500,large10_imbalance,30,False,0.0,0.65,3,430,60.52312138728323,217,213,2019-08-05 13:30:00,2026-06-10 14:15:00
