variant_id,threshold,signals,signals_per_year,passes_density_gate
high_skew_short_1000,skew_rank_min=0.55,1828,118.40344,True
high_skew_short_1000,skew_rank_min=0.60,1655,107.197863,True
high_skew_short_1000,skew_rank_min=0.65,1503,97.3525,True
low_skew_long_1030,skew_rank_max=0.45,1601,103.700168,True
low_skew_long_1030,skew_rank_max=0.40,1426,92.365047,True
low_skew_long_1030,skew_rank_max=0.35,1282,83.037861,True
rising_skew_short_1130,skew_change_rank_min=0.55,1701,110.177381,True
rising_skew_short_1130,skew_change_rank_min=0.60,1513,98.000222,True
rising_skew_short_1130,skew_change_rank_min=0.65,1326,85.887835,True
falling_skew_long_1200,skew_change_rank_max=0.45,1681,108.881938,True
falling_skew_long_1200,skew_change_rank_max=0.40,1478,95.733197,True
falling_skew_long_1200,skew_change_rank_max=0.35,1299,84.138987,True
persistent_high_skew_short_1330,skew_mean_rank_min=0.55,1818,117.755719,True
persistent_high_skew_short_1330,skew_mean_rank_min=0.60,1659,107.456952,True
persistent_high_skew_short_1330,skew_mean_rank_min=0.65,1506,97.546817,True
