campaign_id,variant_id,window,start_date,end_date,entry_combinations,worst_signals,worst_signals_per_year,median_signals_per_year,best_signals,best_signals_per_year,density_gate_pass,worst_params,best_params
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,full_configured_period,2011-01-03,2026-05-29,9,1339,86.93027906150017,106.34189477426236,1910,124.0006221116246,True,"rank=0.5, imbalance=0.15","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,limited_core_random_10pct,2011-02-22,2012-09-05,9,122,79.28914590747331,90.33763345195729,170,110.48487544483986,True,"rank=0.5, imbalance=0.15","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,full_configured_period,2011-01-03,2026-05-29,9,1240,80.50302168503377,100.3690899395663,1814,117.76813011020263,True,"rank=0.5, imbalance=0.1","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,126,81.88879003558718,92.93727758007117,173,112.43460854092525,True,"rank=0.5, imbalance=0.1","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,1233,80.04856914326342,98.74604514752933,1777,115.36602381798791,True,"rank=0.5, imbalance=0.03","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,114,74.08985765124555,83.18861209964412,152,98.7864768683274,True,"rank=0.5, imbalance=0.0","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,full_configured_period,2011-01-03,2026-05-29,9,1183,76.80247955918948,96.3439388553146,1740,112.9639175257732,True,"rank=0.5, imbalance=0.1","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,limited_core_random_10pct,2011-02-22,2012-09-05,9,121,78.63923487544484,89.68772241992882,169,109.83496441281139,True,"rank=0.5, imbalance=0.04","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,full_configured_period,2011-01-03,2026-05-29,9,1096,71.15428368290081,88.16379310344827,1564,101.53768218983292,True,"rank=0.5, imbalance=0.03","rank=0.7, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,116,75.38967971530249,86.43816725978647,161,104.63567615658363,True,"rank=0.5, imbalance=0.03","rank=0.7, imbalance=0.0"
