variant_id,entry_rows,rows_passing_density,min_signals_per_year,full_min_signals,limited_core_min_signals,latest_252_min_signals,density_gate_pass
high_deficit_12m_short_1030,9,9,120.0,1981,371,120,True
high_deficit_3m_short_1000,9,9,131.38630999213217,1988,349,142,True
high_fiscal_impulse_short_1330,9,9,59.0,1312,130,59,True
low_outlays_yoy_long_1200,9,9,95.6317859952793,1447,234,105,True
strong_receipts_yoy_long_1130,9,9,87.62264150943396,1420,129,143,True
