variant,lookback_sessions,threshold_type,threshold,signals,signals_per_year
short_5d_continuation_two_sided_1000,5,abs,0.01,2386,154.5462848022699
short_5d_continuation_two_sided_1000,5,abs,0.015,1807,117.04322574924632
short_5d_continuation_two_sided_1000,5,abs,0.02,1373,88.93212449015783
twenty_day_trend_two_sided_1000,20,abs,0.025,2371,153.574702961518
twenty_day_trend_two_sided_1000,20,abs,0.04,1617,104.7365224330555
twenty_day_trend_two_sided_1000,20,abs,0.055,993,64.31871785777619
sixty_day_trend_two_sided_1030,60,abs,0.05,2246,145.47818762191878
sixty_day_trend_two_sided_1030,60,abs,0.075,1515,98.12976591594254
sixty_day_trend_two_sided_1030,60,abs,0.1,940,60.88579535378613
twenty_day_long_only_1000,20,pos,0.025,1650,106.8740024827097
twenty_day_long_only_1000,20,pos,0.04,1114,72.15614470650824
twenty_day_long_only_1000,20,pos,0.055,665,43.07346160666785
vol_norm_20d_trend_two_sided_1130,20,abs_zscore,0.5,2485,160.95872495123248
vol_norm_20d_trend_two_sided_1130,20,abs_zscore,0.75,1955,126.62949991133179
vol_norm_20d_trend_two_sided_1130,20,abs_zscore,1.0,1441,93.3366288348998
