variant_id,period,start_date,end_date,min_sweep_ticks,min_orderflow_imbalance,signals,years,signals_per_year
late_morning_large10_up_sweep_reject_short_1230,limited_core_window,2011-02-22,2012-09-06,1,0.04,140,1.541409993155373,90.82593250444049
late_morning_large10_up_sweep_reject_short_1230,full_history,2011-01-03,2026-06-09,2,0.0,1185,15.433264887063656,76.78219797764768
late_morning_large10_up_sweep_reject_short_1230,limited_core_window,2011-02-22,2012-09-06,2,0.0,110,1.541409993155373,71.36323268206039
late_morning_large10_up_sweep_reject_short_1230,full_history,2011-01-03,2026-06-09,2,0.02,1080,15.433264887063656,69.97871208089408
late_morning_large10_up_sweep_reject_short_1230,limited_core_window,2011-02-22,2012-09-06,2,0.02,96,1.541409993155373,62.280639431616336
late_morning_large10_up_sweep_reject_short_1230,full_history,2011-01-03,2026-06-09,2,0.04,985,15.433264887063656,63.82317722192656
late_morning_large10_up_sweep_reject_short_1230,limited_core_window,2011-02-22,2012-09-06,2,0.04,79,1.541409993155373,51.25177619893428
late_morning_large10_up_sweep_reject_short_1230,full_history,2011-01-03,2026-06-09,4,0.0,658,15.433264887063656,42.63517828632251
late_morning_large10_up_sweep_reject_short_1230,limited_core_window,2011-02-22,2012-09-06,4,0.0,35,1.541409993155373,22.706483126110122
late_morning_large10_up_sweep_reject_short_1230,full_history,2011-01-03,2026-06-09,4,0.02,589,15.433264887063656,38.164316125598724
late_morning_large10_up_sweep_reject_short_1230,limited_core_window,2011-02-22,2012-09-06,4,0.02,24,1.541409993155373,15.570159857904084
late_morning_large10_up_sweep_reject_short_1230,full_history,2011-01-03,2026-06-09,4,0.04,542,15.433264887063656,35.11894624800426
late_morning_large10_up_sweep_reject_short_1230,limited_core_window,2011-02-22,2012-09-06,4,0.04,19,1.541409993155373,12.326376554174066
midday_signed_two_sided_key_reversal_1400,full_history,2011-01-03,2026-06-09,1,0.0,2781,15.433264887063656,180.19518360830227
midday_signed_two_sided_key_reversal_1400,limited_core_window,2011-02-22,2012-09-06,1,0.0,220,1.541409993155373,142.72646536412077
