variant,window,start_date,end_date,entry_combos,calendar_sessions,lookback_days,min_orderflow_imbalance,min_mean_return_bps,signals,signals_per_year,density_pass
afternoon_1330_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.02,0.75,72,72.04931506849314,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.0,0.75,1662,107.70856990773598,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,0.75,148,96.18683274021352,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,0.75,1497,107.80347988958991,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,0.75,110,110.07534246575342,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.01,0.75,1593,103.23691447835344,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,0.75,145,94.23709964412811,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,0.75,1432,103.12263406940063,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,0.75,109,109.07465753424657,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.02,0.75,1526,98.89487224982257,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.02,0.75,141,91.63745551601423,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.02,0.75,1368,98.51380126182966,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.02,0.75,106,106.07260273972602,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.0,0.75,1553,100.64465046132008,True
