campaign_id,variant_id,config_path,setup_mode,entry_time,signal_bar_timestamp,flatten_time,pressure_rank_column,pressure_value_column,return_column,pressure_rank_threshold,min_return_ticks,full_start_date,full_end_date,full_sessions,full_signals,full_signal_sessions,full_long_impulses,full_short_impulses,full_signals_per_year,pass_full_50_per_year,limited_start_date,limited_end_date,limited_sessions,limited_signals,limited_signal_sessions,limited_long_impulses,limited_short_impulses,limited_signals_per_year,pass_limited_50_per_year,latest_start_date,latest_end_date,latest_sessions,latest_signals,latest_signal_sessions,latest_long_impulses,latest_short_impulses,latest_signals_per_year,pass_latest_50_signals,density_pass,decision,failure_reason
nq_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,campaigns/nq_orderflow_impulse_reversal/variants/early_5m_impulse_reversal_1000/config.yaml,early_5m_impulse_reversal_1000,10:00:00,09:59:00,10:45:00,trade_orderflow_imbalance_5_rank42,trade_orderflow_imbalance_5,trade_orderflow_return_ticks_5,0.8,1.0,2011-01-03,2026-06-12,3813,1466,1466,746,720,94.955932,True,2011-02-22,2012-09-07,371,124,124,66,58,80.445826,True,2025-06-09,2026-06-12,252,103,103,50,53,102.230299,True,True,PASS,
nq_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,campaigns/nq_orderflow_impulse_reversal/variants/early_5m_impulse_reversal_1000/config.yaml,early_5m_impulse_reversal_1000,10:00:00,09:59:00,10:45:00,trade_orderflow_imbalance_5_rank42,trade_orderflow_imbalance_5,trade_orderflow_return_ticks_5,0.8,2.0,2011-01-03,2026-06-12,3813,1440,1440,733,707,93.271857,True,2011-02-22,2012-09-07,371,116,116,61,55,75.255773,True,2025-06-09,2026-06-12,252,101,101,49,52,100.245245,True,True,PASS,
nq_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,campaigns/nq_orderflow_impulse_reversal/variants/early_5m_impulse_reversal_1000/config.yaml,early_5m_impulse_reversal_1000,10:00:00,09:59:00,10:45:00,trade_orderflow_imbalance_5_rank42,trade_orderflow_imbalance_5,trade_orderflow_return_ticks_5,0.8,3.0,2011-01-03,2026-06-12,3813,1421,1421,729,692,92.041186,True,2011-02-22,2012-09-07,371,107,107,58,49,69.416963,True,2025-06-09,2026-06-12,252,101,101,49,52,100.245245,True,True,PASS,
nq_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,campaigns/nq_orderflow_impulse_reversal/variants/early_5m_impulse_reversal_1000/config.yaml,early_5m_impulse_reversal_1000,10:00:00,09:59:00,10:45:00,trade_orderflow_imbalance_5_rank42,trade_orderflow_imbalance_5,trade_orderflow_return_ticks_5,0.85,1.0,2011-01-03,2026-06-12,3813,1158,1158,592,566,75.006118,True,2011-02-22,2012-09-07,371,95,95,51,44,61.631883,True,2025-06-09,2026-06-12,252,84,84,40,44,83.372283,True,True,PASS,
nq_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,campaigns/nq_orderflow_impulse_reversal/variants/early_5m_impulse_reversal_1000/config.yaml,early_5m_impulse_reversal_1000,10:00:00,09:59:00,10:45:00,trade_orderflow_imbalance_5_rank42,trade_orderflow_imbalance_5,trade_orderflow_return_ticks_5,0.85,2.0,2011-01-03,2026-06-12,3813,1140,1140,582,558,73.84022,True,2011-02-22,2012-09-07,371,89,89,47,42,57.739343,True,2025-06-09,2026-06-12,252,83,83,40,43,82.379755,True,True,PASS,
nq_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,campaigns/nq_orderflow_impulse_reversal/variants/early_5m_impulse_reversal_1000/config.yaml,early_5m_impulse_reversal_1000,10:00:00,09:59:00,10:45:00,trade_orderflow_imbalance_5_rank42,trade_orderflow_imbalance_5,trade_orderflow_return_ticks_5,0.85,3.0,2011-01-03,2026-06-12,3813,1125,1125,579,546,72.868638,True,2011-02-22,2012-09-07,371,82,82,44,38,53.198046,True,2025-06-09,2026-06-12,252,83,83,40,43,82.379755,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.75,3.0,2011-01-03,2026-06-12,3813,1686,1686,853,833,109.205799,True,2011-02-22,2012-09-07,371,166,166,82,84,107.693606,True,2025-06-09,2026-06-12,252,116,116,52,64,115.133152,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.75,4.0,2011-01-03,2026-06-12,3813,1664,1664,847,817,107.780812,True,2011-02-22,2012-09-07,371,164,164,82,82,106.396092,True,2025-06-09,2026-06-12,252,115,115,52,63,114.140625,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.75,5.0,2011-01-03,2026-06-12,3813,1646,1646,840,806,106.614914,True,2011-02-22,2012-09-07,371,161,161,82,79,104.449822,True,2025-06-09,2026-06-12,252,115,115,52,63,114.140625,True,True,PASS,
nq_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,campaigns/nq_orderflow_impulse_reversal/variants/late_day_30m_impulse_reversal_1500/config.yaml,late_day_30m_impulse_reversal_1500,15:00:00,14:59:00,15:55:00,trade_orderflow_imbalance_30_rank42,trade_orderflow_imbalance_30,trade_orderflow_return_ticks_30,0.8,3.0,2011-01-03,2026-06-12,3813,1392,1392,703,689,90.162795,True,2011-02-22,2012-09-07,371,139,139,67,72,90.177176,True,2025-06-09,2026-06-12,252,98,98,44,54,97.267663,True,True,PASS,
