variant_id,rank_column,value_column,direction_mode,max_rank_threshold,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.35,full,2011-01-03,2026-06-12,3813,1337,88.36191974822974,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.35,limited_core,2011-02-22,2012-09-07,371,128,86.94339622641509,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.35,latest_252,2025-06-09,2026-06-12,252,67,67.0,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.45,full,2011-01-03,2026-06-12,3813,1663,109.90715971675846,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.45,limited_core,2011-02-22,2012-09-07,371,141,95.77358490566037,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.45,latest_252,2025-06-09,2026-06-12,252,93,93.0,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.5,full,2011-01-03,2026-06-12,3813,1836,121.34067663257278,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.5,limited_core,2011-02-22,2012-09-07,371,169,114.79245283018867,True
high_5d_max_fade_short_1000,max_return_5d_rank_252,prior_max_return_5d,high_short,0.5,latest_252,2025-06-09,2026-06-12,252,93,93.0,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.35,full,2011-01-03,2026-06-12,3813,1377,91.00550747442958,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.35,limited_core,2011-02-22,2012-09-07,371,126,85.58490566037736,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.35,latest_252,2025-06-09,2026-06-12,252,105,105.0,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.45,full,2011-01-03,2026-06-12,3813,1679,110.9645948072384,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.45,limited_core,2011-02-22,2012-09-07,371,162,110.0377358490566,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.45,latest_252,2025-06-09,2026-06-12,252,105,105.0,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.5,full,2011-01-03,2026-06-12,3813,1888,124.77734067663258,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.5,limited_core,2011-02-22,2012-09-07,371,192,130.41509433962264,True
high_20d_max_fade_short_1130,max_return_20d_rank_252,prior_max_return_20d,high_short,0.5,latest_252,2025-06-09,2026-06-12,252,121,121.0,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.35,full,2011-01-03,2026-06-12,3813,1166,77.06058221872541,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.35,limited_core,2011-02-22,2012-09-07,371,82,55.698113207547166,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.35,latest_252,2025-06-09,2026-06-12,252,87,87.0,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.45,full,2011-01-03,2026-06-12,3813,1556,102.83556254917387,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.45,limited_core,2011-02-22,2012-09-07,371,113,76.75471698113208,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.45,latest_252,2025-06-09,2026-06-12,252,153,153.0,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.5,full,2011-01-03,2026-06-12,3813,1708,112.88119590873328,True
high_63d_max_fade_short_1200,max_return_63d_rank_252,prior_max_return_63d,high_short,0.5,limited_core,2011-02-22,2012-09-07,371,168,114.11320754716981,True
