campaign_id,variant_id,test_run_id,scope,period_start,period_end,rows,years,signals,signals_per_year,passed_density,entry.params.min_sweep_ticks,entry.params.min_orderflow_imbalance,orderflow_mode,allow_long,allow_short,start_time,end_time,short_trend_bars,long_trend_bars,reclaim_window_bars,audit_status,authoritative_evidence
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1510,97.85796664300922,True,0,0.0,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,139,90.33763345195727,True,0,0.0,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1452,94.09918381831086,True,0,0.04,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,129,83.83852313167259,True,0,0.04,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1401,90.79404719659333,True,0,0.08,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,120,77.98932384341637,True,0,0.08,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1439,93.25669801277502,True,1,0.0,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,126,81.88879003558718,True,1,0.0,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1383,89.62752838892833,True,1,0.04,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,116,75.38967971530249,True,1,0.04,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1331,86.25758516678495,True,1,0.08,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,107,69.54048042704626,True,1,0.08,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1348,87.35929737402414,True,2,0.0,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,115,74.73976868327402,True,2,0.0,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,full_configured_data,2011-01-03,2026-06-09,297726,15.430527036276525,1292,83.73012775017743,True,2,0.04,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,rescue1,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.538672142368241,104,67.59074733096085,True,2,0.04,large20,True,True,09:45:00,15:30:00,1,2,9,invalidated_by_staged_entry_module_signal_density,backtest-campaigns/es_trend_orderflow_prior_day_stop_reclaim/*/ES/rescue1/limited_core_grid_test/core_grid_summary.json
