campaign_id,variant_id,flow_mode,opening_range_minutes,last_entry_time,max_reclaim_bars,min_reclaim_orderflow_imbalance,full_start_date,full_end_date,full_sessions,full_years,full_signals,full_signals_per_year,pass_full_50_per_year,limited_start_date,limited_end_date,limited_sessions,limited_years,limited_signals,limited_signals_per_year,pass_limited_50_per_year,latest_start_date,latest_end_date,latest_sessions,latest_years,latest_signals,latest_signals_per_year,pass_latest_50_signals,density_pass
nq_opening_range_failed_breakout_orderflow,or30_large20_failed_reclaim_1130,large20,30,11:30:00,4,0.02,2011-01-03,2026-06-12,3813,15.130952380952381,1219,80.5633359559402,True,2011-02-22,2012-09-07,371,1.4722222222222223,147,99.84905660377358,True,2025-06-09,2026-06-12,252,1.0,77,77.0,True,True
nq_opening_range_failed_breakout_orderflow,or30_large20_failed_reclaim_1130,large20,30,11:30:00,4,0.06,2011-01-03,2026-06-12,3813,15.130952380952381,1206,79.70416994492525,True,2011-02-22,2012-09-07,371,1.4722222222222223,145,98.49056603773585,True,2025-06-09,2026-06-12,252,1.0,75,75.0,True,True
nq_opening_range_failed_breakout_orderflow,or30_large20_failed_reclaim_1130,large20,30,11:30:00,4,0.1,2011-01-03,2026-06-12,3813,15.130952380952381,1177,77.78756884343036,True,2011-02-22,2012-09-07,371,1.4722222222222223,137,93.0566037735849,True,2025-06-09,2026-06-12,252,1.0,75,75.0,True,True
nq_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,signed_volume,30,11:00:00,3,0.02,2011-01-03,2026-06-12,3813,15.130952380952381,1314,86.84185680566483,True,2011-02-22,2012-09-07,371,1.4722222222222223,120,81.50943396226414,True,2025-06-09,2026-06-12,252,1.0,86,86.0,True,True
nq_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,signed_volume,30,11:00:00,3,0.06,2011-01-03,2026-06-12,3813,15.130952380952381,1073,70.91424075531077,True,2011-02-22,2012-09-07,371,1.4722222222222223,108,73.35849056603773,True,2025-06-09,2026-06-12,252,1.0,56,56.0,True,True
nq_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,signed_volume,30,11:00:00,4,0.02,2011-01-03,2026-06-12,3813,15.130952380952381,1380,91.20377655389457,True,2011-02-22,2012-09-07,371,1.4722222222222223,131,88.98113207547169,True,2025-06-09,2026-06-12,252,1.0,92,92.0,True,True
nq_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,signed_volume,30,11:00:00,4,0.06,2011-01-03,2026-06-12,3813,15.130952380952381,1150,76.00314712824547,True,2011-02-22,2012-09-07,371,1.4722222222222223,120,81.50943396226414,True,2025-06-09,2026-06-12,252,1.0,61,61.0,True,True
nq_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,signed_volume,60,12:00:00,3,0.02,2011-01-03,2026-06-12,3813,15.130952380952381,1280,84.59480723839496,True,2011-02-22,2012-09-07,371,1.4722222222222223,110,74.71698113207546,True,2025-06-09,2026-06-12,252,1.0,98,98.0,True,True
nq_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,signed_volume,60,12:00:00,3,0.06,2011-01-03,2026-06-12,3813,15.130952380952381,1095,72.36821400472068,True,2011-02-22,2012-09-07,371,1.4722222222222223,98,66.56603773584905,True,2025-06-09,2026-06-12,252,1.0,71,71.0,True,True
nq_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,signed_volume,60,12:00:00,3,0.1,2011-01-03,2026-06-12,3813,15.130952380952381,752,49.69944925255704,False,2011-02-22,2012-09-07,371,1.4722222222222223,90,61.13207547169811,True,2025-06-09,2026-06-12,252,1.0,24,24.0,False,False
nq_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,signed_volume,60,12:00:00,4,0.02,2011-01-03,2026-06-12,3813,15.130952380952381,1322,87.3705743509048,True,2011-02-22,2012-09-07,371,1.4722222222222223,111,75.39622641509433,True,2025-06-09,2026-06-12,252,1.0,100,100.0,True,True
nq_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,signed_volume,60,12:00:00,4,0.06,2011-01-03,2026-06-12,3813,15.130952380952381,1135,75.01180173092054,True,2011-02-22,2012-09-07,371,1.4722222222222223,103,69.9622641509434,True,2025-06-09,2026-06-12,252,1.0,69,69.0,True,True
nq_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,signed_volume,60,12:00:00,4,0.1,2011-01-03,2026-06-12,3813,15.130952380952381,799,52.805664830841856,True,2011-02-22,2012-09-07,371,1.4722222222222223,93,63.16981132075471,True,2025-06-09,2026-06-12,252,1.0,25,25.0,False,False
