campaign_id,variant_id,config_path,rank_threshold,min_return_ticks,full_signals,full_sessions,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_sessions,limited_signals_per_year,latest_252_session_signals,latest_252_session_signals_per_year,density_pass,failure_reason
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.25,5,869,3813,57.431943,2011-02-22,2012-09-07,84,371,57.056604,59,59.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.25,6,844,3813,55.779701,2011-02-22,2012-09-07,79,371,53.660377,59,59.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.35,4,1291,3813,85.321794,2011-02-22,2012-09-07,123,371,83.54717,83,83.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.35,5,1252,3813,82.744296,2011-02-22,2012-09-07,114,371,77.433962,83,83.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.35,6,1211,3813,80.034618,2011-02-22,2012-09-07,104,371,70.641509,83,83.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.45,4,1615,3813,106.734854,2011-02-22,2012-09-07,147,371,99.849057,102,102.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.45,5,1571,3813,103.826908,2011-02-22,2012-09-07,136,371,92.377358,101,101.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_late_balanced_extension_fade/config.yaml,0.45,6,1523,3813,100.654603,2011-02-22,2012-09-07,126,371,85.584906,101,101.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.25,4,839,3813,55.449253,2011-02-22,2012-09-07,80,371,54.339623,54,54.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.25,5,807,3813,53.334382,2011-02-22,2012-09-07,75,371,50.943396,54,54.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.25,6,766,3813,50.624705,2011-02-22,2012-09-07,65,371,44.150943,54,54.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.35,4,1194,3813,78.911094,2011-02-22,2012-09-07,114,371,77.433962,79,79.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.35,5,1151,3813,76.069237,2011-02-22,2012-09-07,106,371,72.0,79,79.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.35,6,1090,3813,72.037766,2011-02-22,2012-09-07,93,371,63.169811,79,79.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.45,4,1523,3813,100.654603,2011-02-22,2012-09-07,131,371,88.981132,105,105.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.45,5,1466,3813,96.88749,2011-02-22,2012-09-07,121,371,82.188679,104,104.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_midday_balanced_extension_fade/config.yaml,0.45,6,1396,3813,92.261212,2011-02-22,2012-09-07,106,371,72.0,103,103.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.25,4,859,3813,56.771046,2011-02-22,2012-09-07,80,371,54.339623,53,53.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.25,5,836,3813,55.250983,2011-02-22,2012-09-07,75,371,50.943396,53,53.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.25,6,812,3813,53.664831,2011-02-22,2012-09-07,70,371,47.54717,53,53.0,False,failed pre-PnL density gate: require >=50 signals/year full and limited-core plus >=50 signals in latest 252 sessions
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.35,4,1225,3813,80.959874,2011-02-22,2012-09-07,116,371,78.792453,87,87.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.35,5,1188,3813,78.514555,2011-02-22,2012-09-07,110,371,74.716981,87,87.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.35,6,1160,3813,76.664044,2011-02-22,2012-09-07,104,371,70.641509,87,87.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.45,4,1546,3813,102.174666,2011-02-22,2012-09-07,153,371,103.924528,108,108.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.45,5,1496,3813,98.870181,2011-02-22,2012-09-07,143,371,97.132075,108,108.0,True,
nq_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,campaigns/nq_low_toxicity_orderflow_extension_fade/variants/two_slot_morning_balanced_extension_fade/config.yaml,0.45,6,1465,3813,96.8214,2011-02-22,2012-09-07,136,371,92.377358,108,108.0,True,
