campaign_id,variant_id,setup_mode,entry_time,lookback_minutes,min_es_return_bps,min_lead_gap_bps,candidates,candidates_per_year,long_candidates,short_candidates,span_years
nq_es_cross_index_lead_lag,early15_two_sided_lag_follow_1030,two_sided_nq_lag_follow,10:30:00,15,2.0,0.0,1190,77.1061734965407,632,558,15.433264887063656
nq_es_cross_index_lead_lag,early15_two_sided_lag_follow_1030,two_sided_nq_lag_follow,10:30:00,15,2.0,1.0,1039,67.32211282597126,539,500,15.433264887063656
nq_es_cross_index_lead_lag,early15_two_sided_lag_follow_1030,two_sided_nq_lag_follow,10:30:00,15,3.0,0.0,1080,69.97871208089408,574,506,15.433264887063656
nq_es_cross_index_lead_lag,early15_two_sided_lag_follow_1030,two_sided_nq_lag_follow,10:30:00,15,3.0,1.0,939,60.842602448110696,487,452,15.433264887063656
nq_es_cross_index_lead_lag,early15_two_sided_lag_follow_1030,two_sided_nq_lag_follow,10:30:00,15,4.0,0.0,956,61.94411921234699,508,448,15.433264887063656
nq_es_cross_index_lead_lag,early15_two_sided_lag_follow_1030,two_sided_nq_lag_follow,10:30:00,15,4.0,1.0,838,54.298296966471526,435,403,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,2.0,0.0,1463,94.79523682810004,718,745,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,2.0,1.0,1390,90.06519425226183,682,708,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,2.0,2.0,1317,85.33515167642362,645,672,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,3.0,0.0,1405,91.03712080894093,693,712,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,3.0,1.0,1335,86.50146354443852,657,678,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,3.0,2.0,1263,81.83621607237892,620,643,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,4.0,0.0,1315,85.20556146886642,655,660,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,4.0,1.0,1249,80.92908461947845,621,628,15.433264887063656
nq_es_cross_index_lead_lag,early30_two_sided_lag_follow_1000,two_sided_nq_lag_follow,10:00:00,30,4.0,2.0,1179,76.39342735497604,585,594,15.433264887063656
nq_es_cross_index_lead_lag,late_day30_confirmed_lag_follow_1530,two_sided_confirmed_follow,15:30:00,30,2.0,0.0,1061,68.74760510910058,581,480,15.433264887063656
nq_es_cross_index_lead_lag,late_day30_confirmed_lag_follow_1530,two_sided_confirmed_follow,15:30:00,30,2.0,1.0,842,54.55747738158595,465,377,15.433264887063656
nq_es_cross_index_lead_lag,late_day30_confirmed_lag_follow_1530,two_sided_confirmed_follow,15:30:00,30,3.0,0.0,1019,66.02621075039914,559,460,15.433264887063656
nq_es_cross_index_lead_lag,late_day30_confirmed_lag_follow_1530,two_sided_confirmed_follow,15:30:00,30,3.0,1.0,827,53.58555082490686,458,369,15.433264887063656
nq_es_cross_index_lead_lag,late_morning60_two_sided_lag_follow_1130,two_sided_nq_lag_follow,11:30:00,60,2.0,0.0,1318,85.39994678020223,671,647,15.433264887063656
nq_es_cross_index_lead_lag,late_morning60_two_sided_lag_follow_1130,two_sided_nq_lag_follow,11:30:00,60,2.0,1.0,1219,78.98523150612027,617,602,15.433264887063656
nq_es_cross_index_lead_lag,late_morning60_two_sided_lag_follow_1130,two_sided_nq_lag_follow,11:30:00,60,2.0,2.0,1132,73.34805747738159,574,558,15.433264887063656
nq_es_cross_index_lead_lag,late_morning60_two_sided_lag_follow_1130,two_sided_nq_lag_follow,11:30:00,60,3.0,0.0,1260,81.64183076104311,642,618,15.433264887063656
nq_es_cross_index_lead_lag,late_morning60_two_sided_lag_follow_1130,two_sided_nq_lag_follow,11:30:00,60,3.0,1.0,1165,75.48629590207557,588,577,15.433264887063656
nq_es_cross_index_lead_lag,late_morning60_two_sided_lag_follow_1130,two_sided_nq_lag_follow,11:30:00,60,3.0,2.0,1079,69.91391697711548,545,534,15.433264887063656
