campaign_id,variant_id,setup_mode,flow_mode,start_time,end_time,min_morning_return_ticks,min_counterflow_imbalance,full_start,full_end,full_sessions,full_signal_sessions,full_signals_per_year,limited_start,limited_end,limited_sessions,limited_signal_sessions,limited_signals_per_year,latest_start,latest_end,latest_sessions,latest_signal_sessions,decision
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,8,0.0,2011-01-03,2026-06-12,3813,3141,203.413165,2011-02-22,2012-09-07,371,339,219.538564,2025-06-09,2026-06-12,252,209,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,8,0.02,2011-01-03,2026-06-12,3813,3109,201.340824,2011-02-22,2012-09-07,371,339,219.538564,2025-06-09,2026-06-12,252,208,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,8,0.04,2011-01-03,2026-06-12,3813,3096,200.498936,2011-02-22,2012-09-07,371,338,218.890957,2025-06-09,2026-06-12,252,208,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,12,0.0,2011-01-03,2026-06-12,3813,3085,199.786569,2011-02-22,2012-09-07,371,330,213.710106,2025-06-09,2026-06-12,252,207,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,12,0.02,2011-01-03,2026-06-12,3813,3054,197.778989,2011-02-22,2012-09-07,371,330,213.710106,2025-06-09,2026-06-12,252,206,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,12,0.04,2011-01-03,2026-06-12,3813,3041,196.937101,2011-02-22,2012-09-07,371,329,213.0625,2025-06-09,2026-06-12,252,206,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,16,0.0,2011-01-03,2026-06-12,3813,3027,196.030452,2011-02-22,2012-09-07,371,320,207.234043,2025-06-09,2026-06-12,252,207,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,16,0.02,2011-01-03,2026-06-12,3813,2996,194.022872,2011-02-22,2012-09-07,371,319,206.586436,2025-06-09,2026-06-12,252,206,PASS
nq_morning_trend_lunch_reversal_orderflow,early_afternoon_large20_two_sided_reversal_1400,two_sided_reversal,large20,12:30:00,14:00:00,16,0.04,2011-01-03,2026-06-12,3813,2982,193.116223,2011-02-22,2012-09-07,371,318,205.93883,2025-06-09,2026-06-12,252,206,PASS
nq_morning_trend_lunch_reversal_orderflow,late_morning_signed_down_extension_long_1130,down_extension_long,signed_volume,10:30:00,11:30:00,8,0.0,2011-01-03,2026-06-12,3813,1989,128.80891,2011-02-22,2012-09-07,371,179,115.921543,2025-06-09,2026-06-12,252,125,PASS
nq_morning_trend_lunch_reversal_orderflow,late_morning_signed_down_extension_long_1130,down_extension_long,signed_volume,10:30:00,11:30:00,8,0.02,2011-01-03,2026-06-12,3813,1946,126.024202,2011-02-22,2012-09-07,371,175,113.331117,2025-06-09,2026-06-12,252,118,PASS
