campaign_id,variant_id,scope,entry_combo_count,min_signals_per_year,median_signals_per_year,max_signals_per_year,all_entry_corners_pass_density,weakest_combo_min_sweep_ticks,weakest_combo_min_orderflow_imbalance,strongest_combo_min_sweep_ticks,strongest_combo_min_orderflow_imbalance,period_start,period_end
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,9,1.297513,9.082593,18.165187,False,4,0.1,1,0.0,2011-02-22,2012-09-06
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,full_configured_data,9,9.65447,17.365088,25.01091,False,4,0.1,1,0.0,2011-01-03,2026-06-09
es_trend_orderflow_prior_day_stop_reclaim,late_morning_signed_two_sided_trend_absorption_1230,limited_core_grid_test,9,3.89254,9.73135,17.51643,False,3,0.05,1,0.0,2011-02-22,2012-09-06
es_trend_orderflow_prior_day_stop_reclaim,late_morning_signed_two_sided_trend_absorption_1230,full_configured_data,9,4.470862,10.820782,19.827302,False,3,0.05,1,0.0,2011-01-03,2026-06-09
es_trend_orderflow_prior_day_stop_reclaim,midday_large10_two_sided_trend_absorption_1400,limited_core_grid_test,9,1.94627,8.433837,19.4627,False,4,0.1,1,0.0,2011-02-22,2012-09-06
es_trend_orderflow_prior_day_stop_reclaim,midday_large10_two_sided_trend_absorption_1400,full_configured_data,9,7.321847,16.717137,26.630788,False,4,0.1,1,0.0,2011-01-03,2026-06-09
es_trend_orderflow_prior_day_stop_reclaim,morning_pdh_signed_trend_absorption_short_1130,limited_core_grid_test,9,1.94627,3.89254,9.082593,False,3,0.02,1,0.0,2011-02-22,2012-09-06
es_trend_orderflow_prior_day_stop_reclaim,morning_pdh_signed_trend_absorption_short_1130,full_configured_data,9,2.527009,6.22033,11.857504,False,3,0.05,1,0.0,2011-01-03,2026-06-09
es_trend_orderflow_prior_day_stop_reclaim,morning_pdl_signed_trend_absorption_long_1130,limited_core_grid_test,9,1.94627,6.487567,11.028863,False,3,0.05,1,0.0,2011-02-22,2012-09-06
es_trend_orderflow_prior_day_stop_reclaim,morning_pdl_signed_trend_absorption_long_1130,full_configured_data,9,2.203034,5.248403,8.164183,False,3,0.05,1,0.0,2011-01-03,2026-06-09
