campaign_id,variant_id,window,run_id,start_date,end_date,session_days_with_signal_bar,signal_days,signals,signals_per_year,long_signals,short_signals,entry.params.breakout_buffer_ticks,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,6,2011-01-03,2026-06-12,3813,3319,3319,214.9405585106383,1903,1416,1,0.0,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,6,2011-02-22,2012-09-07,371,326,326,211.11968085106383,179,147,1,0.0,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,7,2011-01-03,2026-06-12,3813,3319,3319,214.9405585106383,1903,1416,1,0.0,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,7,2011-02-22,2012-09-07,371,326,326,211.11968085106383,179,147,1,0.0,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,8,2011-01-03,2026-06-12,3813,3319,3319,214.9405585106383,1903,1416,1,0.0,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,8,2011-02-22,2012-09-07,371,326,326,211.11968085106383,179,147,1,0.0,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,9,2011-01-03,2026-06-12,3813,3319,3319,214.9405585106383,1903,1416,1,0.0,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,9,2011-02-22,2012-09-07,371,326,326,211.11968085106383,179,147,1,0.0,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,10,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,10,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,11,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,11,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,12,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,12,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,13,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,13,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,14,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,14,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,15,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,15,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,16,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,16,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,17,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,17,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,18,2011-01-03,2026-06-12,3813,3314,3314,214.61675531914895,1901,1413,1,0.01,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,18,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.01,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,19,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,19,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,20,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,20,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,21,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,21,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,22,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,22,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,23,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,23,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,24,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,24,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,25,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,25,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,26,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,26,2011-02-22,2012-09-07,371,325,325,210.4720744680851,180,145,1,0.02,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,27,2011-01-03,2026-06-12,3813,3312,3312,214.48723404255318,1899,1413,1,0.02,0.006,2.0
