campaign_id,variant_id,scope,period_start,period_end,rows,years,signals,signals_per_year,passed_density,entry.params.min_sweep_ticks,entry.params.min_orderflow_imbalance,orderflow_mode,allow_long,allow_short,start_time,end_time
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,28,18.165187,False,1,0.0,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,21,13.62389,False,1,0.05,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,16,10.380107,False,1,0.1,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,20,12.975133,False,2,0.0,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,14,9.082593,False,2,0.05,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,10,6.487567,False,2,0.1,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,6,3.89254,False,4,0.0,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,4,2.595027,False,4,0.05,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,limited_core_grid_test,2011-02-22,2012-09-06,29172,1.54141,2,1.297513,False,4,0.1,large20,True,True,11:00:00,15:00:00
es_trend_orderflow_prior_day_stop_reclaim,afternoon_large20_two_sided_trend_absorption_1500,full_configured_data,2011-01-03,2026-06-09,297726,15.433265,386,25.01091,False,1,0.0,large20,True,True,11:00:00,15:00:00
