campaign_id,variant_id,window,start_date,end_date,sessions,min_extreme_break_ticks,max_delta_progress_ratio,signals,long,short,signals_per_year
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.05,137,0,137,89.03781138790035
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.1,142,0,142,92.2873665480427
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.05,97,0,97,63.04137010676156
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.1,106,0,106,68.89056939501779
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.05,1279,0,1279,92.10464313880126
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.1,1294,0,1294,93.18483832807571
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.05,1057,0,1057,76.11775433753944
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.1,1107,0,1107,79.71840496845427
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,1,0.05,1430,0,1430,92.67343860894252
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,1,0.1,1446,0,1446,93.71034421575585
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,2,0.05,1200,0,1200,77.76792051100071
es_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,full_available,2011-01-03,2026-06-09,3817,2,0.1,1254,0,1254,81.26747693399574
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.05,106,106,0,68.89056939501779
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.1,109,109,0,70.8403024911032
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.05,87,87,0,56.54225978647686
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.1,95,95,0,61.74154804270462
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.05,1037,1037,0,74.6774940851735
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.1,1050,1050,0,75.61366324921136
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.05,941,941,0,67.76424487381703
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.1,979,979,0,70.50073935331231
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,1,0.05,1150,1150,0,74.52759048970901
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,1,0.1,1164,1164,0,75.43488289567068
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,2,0.05,1050,1050,0,68.04693044712562
es_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,full_available,2011-01-03,2026-06-09,3817,2,0.1,1089,1089,0,70.57438786373315
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.05,306,146,160,198.87277580071174
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,shortlist_random_10pct,2011-02-22,2012-09-06,374,1,0.1,312,151,161,202.77224199288256
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.05,240,118,122,155.97864768683274
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,shortlist_random_10pct,2011-02-22,2012-09-06,374,2,0.1,260,131,129,168.97686832740212
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.05,2891,1330,1561,208.1896194794953
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,wfa_first_90pct,2011-01-03,2024-11-22,3438,1,0.1,2916,1341,1575,209.9899447949527
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.05,2549,1204,1345,183.56116916403786
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,wfa_first_90pct,2011-01-03,2024-11-22,3438,2,0.1,2652,1257,1395,190.97850946372242
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,full_available,2011-01-03,2026-06-09,3817,1,0.05,3224,1471,1753,208.9364797728886
es_session_extreme_delta_divergence,midday_two_sided_delta_divergence,full_available,2011-01-03,2026-06-09,3817,1,0.1,3251,1484,1767,210.6862579843861
