campaign_id,variant_id,setup_mode,flow_mode,start_time,end_time,allow_long,allow_short,min_range_ticks,min_orderflow_imbalance,full_start,full_end,full_sessions,full_signal_sessions,full_signals_per_year,limited_start,limited_end,limited_sessions,limited_signal_sessions,limited_signals_per_year,latest_start,latest_end,latest_sessions,latest_signal_sessions,decision
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,4.0,0.0,2011-01-03,2026-06-12,3813,2469,159.922371,2011-02-22,2012-09-07,371,268,173.866785,2025-06-09,2026-06-12,252,125,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,4.0,0.02,2011-01-03,2026-06-12,3813,2439,157.979207,2011-02-22,2012-09-07,371,265,171.920515,2025-06-09,2026-06-12,252,123,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,4.0,0.04,2011-01-03,2026-06-12,3813,2420,156.748537,2011-02-22,2012-09-07,371,261,169.325488,2025-06-09,2026-06-12,252,123,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,8.0,0.0,2011-01-03,2026-06-12,3813,2445,158.36784,2011-02-22,2012-09-07,371,257,166.730462,2025-06-09,2026-06-12,252,125,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,8.0,0.02,2011-01-03,2026-06-12,3813,2414,156.359904,2011-02-22,2012-09-07,371,253,164.135435,2025-06-09,2026-06-12,252,123,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,8.0,0.04,2011-01-03,2026-06-12,3813,2396,155.194006,2011-02-22,2012-09-07,371,249,161.540409,2025-06-09,2026-06-12,252,123,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,12.0,0.0,2011-01-03,2026-06-12,3813,2307,149.429287,2011-02-22,2012-09-07,371,215,139.482682,2025-06-09,2026-06-12,252,125,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,12.0,0.02,2011-01-03,2026-06-12,3813,2273,147.227035,2011-02-22,2012-09-07,371,211,136.887655,2025-06-09,2026-06-12,252,123,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_long,afternoon_large20_range_expansion_long,large20,13:00:00,15:15:00,True,False,12.0,0.04,2011-01-03,2026-06-12,3813,2252,145.86682,2011-02-22,2012-09-07,371,207,134.292629,2025-06-09,2026-06-12,252,123,PASS
nq_wide_range_orderflow_continuation,afternoon_large20_range_expansion_short,afternoon_large20_range_expansion_short,large20,13:00:00,15:15:00,False,True,4.0,0.0,2011-01-03,2026-06-12,3813,2377,153.963336,2011-02-22,2012-09-07,371,264,171.271758,2025-06-09,2026-06-12,252,120,PASS
