variant_id,signals,sessions,sessions_per_year,long_signals,short_signals,setup_mode,start_time,end_time,max_abs_delta_imbalance,max_large_volume_share,top_aoi_counts
all_aoi_signedquiet_1500,3629,3629,235.64306666666667,1689,1940,all_aoi_false_breakout,10:00:00,15:00:00,0.12,,opening_range_high:887;opening_range_low:733;overnight_high:326;prior_rth_high:319;overnight_low:308
market_aoi_signedquiet_1500,3565,3565,231.48733333333334,1639,1926,market_aoi_false_breakout,10:00:00,15:00:00,0.12,,opening_range_high:1120;opening_range_low:925;overnight_high:408;overnight_low:408;prior_rth_high:398
opening_aoi_signedquiet_1200,2745,2745,178.24200000000002,1309,1436,opening_range_false_breakout,10:00:00,12:00:00,0.12,,opening_range_high:1436;opening_range_low:1309
market_aoi_largequiet_1500,2422,2422,157.26853333333335,1111,1311,market_aoi_false_breakout,10:00:00,15:00:00,0.12,0.1,opening_range_high:746;opening_range_low:636;overnight_high:290;prior_rth_high:275;overnight_low:269
overnight_signedquiet_1500,2367,2367,153.6972,1164,1203,overnight_false_breakout,10:00:00,15:00:00,0.12,,overnight_high:1203;overnight_low:1164
value_area_signedquiet_1500,1903,1903,123.56813333333334,937,966,value_area_false_breakout,10:00:00,15:00:00,0.12,,prior_value_area_high:966;prior_value_area_low:937
poc_signedquiet_1500,1414,1414,91.81573333333334,748,666,poc_false_breakout,10:00:00,15:00:00,0.12,,prior_poc_reclaim:748;prior_poc_reject:666
lvn_largequiet_1500,1192,1192,77.40053333333334,545,647,lvn_false_breakout,10:00:00,15:00:00,0.12,0.1,prior_lvn_near_high:647;prior_lvn_near_low:545
