edge_id,variant_id,reference_side,direction,signal_start,signal_end,min_close_above_prev_high_ticks,max_close_above_prev_high_ticks,min_negative_hour_ticks,min_hour_delta,full_start_date,full_end_date,full_signals,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_signals_per_year,latest_252_start_date,latest_252_end_date,latest_252_signals,density_gate_pass
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,0,32,1,0,2011-01-03,2026-06-12,113,7.319249866997694,2011-02-22,2012-09-07,19,12.326376554174066,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,0,32,1,250,2011-01-03,2026-06-12,70,4.534048590175563,2011-02-22,2012-09-07,15,9.731349911190053,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,0,32,1,750,2011-01-03,2026-06-12,28,1.8136194360702251,2011-02-22,2012-09-07,8,5.190053285968029,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,1,32,1,0,2011-01-03,2026-06-12,102,6.606756517112963,2011-02-22,2012-09-07,17,11.02886323268206,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,1,32,1,250,2011-01-03,2026-06-12,61,3.951099485724419,2011-02-22,2012-09-07,13,8.433836589698046,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,1,32,1,750,2011-01-03,2026-06-12,27,1.7488473133534315,2011-02-22,2012-09-07,8,5.190053285968029,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,2,32,1,0,2011-01-03,2026-06-12,101,6.541984394396169,2011-02-22,2012-09-07,17,11.02886323268206,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,2,32,1,250,2011-01-03,2026-06-12,60,3.8863273630076254,2011-02-22,2012-09-07,13,8.433836589698046,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_absorption_long,pdh,long,10:30:00,15:30:00,2,32,1,750,2011-01-03,2026-06-12,25,1.619303067919844,2011-02-22,2012-09-07,8,5.190053285968029,2025-06-09,2026-06-12,0,False
nq_prior_level_delta_dislocation,pdh_buy_exhaustion_short,pdh,short,10:30:00,15:30:00,0,32,1,0,2011-01-03,2026-06-12,113,7.319249866997694,2011-02-22,2012-09-07,19,12.326376554174066,2025-06-09,2026-06-12,0,False
