variant_id,period,start_date,end_date,min_trend_move_ticks,min_reclaim_orderflow_imbalance,signals,years,signals_per_year
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,0,0.02,607,15.433264887063656,39.330627993613625
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,0,0.02,52,1.541409993155373,33.735346358792185
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,0,0.04,603,15.433264887063656,39.0714475784992
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,0,0.04,52,1.541409993155373,33.735346358792185
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,1,0.0,501,15.433264887063656,32.462346993081425
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,1,0.0,38,1.541409993155373,24.652753108348133
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,1,0.02,492,15.433264887063656,31.879191059073975
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,1,0.02,38,1.541409993155373,24.652753108348133
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,1,0.04,487,15.433264887063656,31.555215540180946
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,1,0.04,37,1.541409993155373,24.00399644760213
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,2,0.0,418,15.433264887063656,27.084353379457156
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,2,0.0,28,1.541409993155373,18.165186500888097
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,2,0.02,410,15.433264887063656,26.565992549228312
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,2,0.02,28,1.541409993155373,18.165186500888097
or30_large10_two_sided_trend_reclaim_1130,full_history,2011-01-03,2026-06-09,2,0.04,406,15.433264887063656,26.30681213411389
or30_large10_two_sided_trend_reclaim_1130,limited_core_window,2011-02-22,2012-09-06,2,0.04,28,1.541409993155373,18.165186500888097
