campaign_id,variant_id,window,start_date,end_date,entry_combinations,worst_signals,worst_signals_per_year,median_signals_per_year,best_signals,best_signals_per_year,density_gate_pass,worst_params,best_params
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,full_configured_period,2011-01-03,2026-05-29,9,1101,71.4788926413082,88.55332385353715,1644,106.73142552435122,True,"rank=0.4, imbalance=0.1","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,limited_core_random_10pct,2011-02-22,2012-09-05,9,98,63.69128113879003,80.58896797153024,140,90.98754448398576,True,"rank=0.4, imbalance=0.1","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,full_configured_period,2011-01-03,2026-05-29,9,1029,66.80452364024174,83.29465872733736,1560,101.277995023107,True,"rank=0.4, imbalance=0.08","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,104,67.59074733096085,82.53870106761565,143,92.93727758007117,True,"rank=0.4, imbalance=0.0","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,1011,65.63593138997511,80.43809989335229,1528,99.20049768929968,True,"rank=0.4, imbalance=0.04","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,93,60.44172597864768,74.08985765124555,128,83.18861209964412,True,"rank=0.4, imbalance=0.0","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,full_configured_period,2011-01-03,2026-05-29,9,991,64.33749555634554,80.04856914326342,1506,97.77221827230714,True,"rank=0.4, imbalance=0.08","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,limited_core_random_10pct,2011-02-22,2012-09-05,9,97,63.04137010676156,78.63923487544484,139,90.33763345195729,True,"rank=0.4, imbalance=0.04","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,full_configured_period,2011-01-03,2026-05-29,9,881,57.19609847138287,72.51764130821188,1366,88.6831674369001,True,"rank=0.4, imbalance=0.04","rank=0.6, imbalance=0.0"
es_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,92,59.79181494661921,76.03959074733096,133,86.43816725978647,True,"rank=0.4, imbalance=0.04","rank=0.6, imbalance=0.0"
